candidate,train_score,trades,cagr,max_dd,w_technical,w_fundamental,w_momentum,w_quality,w_earnings_drift
69,0.513,119,11.86,-10.31,0.295,0.007,0.577,0.089,0.032
55,0.293,116,8.48,-9.41,0.705,0.131,0.018,0.026,0.119
16,0.121,103,7.07,-9.19,0.658,0.145,0.067,0.071,0.059
52,-0.335,33,4.6,-3.76,0.094,0.022,0.595,0.058,0.231
0,-0.382,55,3.81,-10.09,0.321,0.312,0.318,0.037,0.012
14,-0.392,38,4.35,-4.85,0.137,0.332,0.447,0.073,0.011
61,-0.518,33,4.13,-3.52,0.432,0.111,0.2,0.203,0.054
73,-0.571,21,3.24,-6.33,0.029,0.202,0.555,0.11,0.105
1,-0.61,31,3.53,-4.81,0.204,0.198,0.439,0.011,0.147
79,-0.663,45,2.91,-5.75,0.644,0.076,0.016,0.078,0.185
