candidate,train_score,trades,cagr,max_dd,w_technical,w_fundamental,w_momentum,w_quality,w_earnings_drift
16,0.064,82,6.59,-11.07,0.658,0.145,0.067,0.071,0.059
69,0.03,118,5.93,-22.01,0.295,0.007,0.577,0.089,0.032
55,-0.007,80,6.06,-11.01,0.705,0.131,0.018,0.026,0.119
0,-0.201,48,4.88,-9.45,0.321,0.312,0.318,0.037,0.012
24,-0.293,43,4.43,-8.46,0.532,0.203,0.055,0.179,0.032
40,-0.487,34,3.93,-4.95,0.578,0.105,0.004,0.233,0.08
79,-0.509,48,3.6,-6.41,0.644,0.076,0.016,0.078,0.185
47,-0.585,40,3.16,-6.59,0.623,0.009,0.005,0.269,0.093
14,-0.666,25,2.99,-5.51,0.137,0.332,0.447,0.073,0.011
1,-0.729,27,3.08,-4.92,0.204,0.198,0.439,0.011,0.147
