candidate,train_score,trades,cagr,max_dd,w_technical,w_fundamental,w_momentum,w_quality,w_earnings_drift
69,0.7,138,15.8,-17.98,0.295,0.007,0.577,0.089,0.032
16,0.43,108,9.64,-10.87,0.658,0.145,0.067,0.071,0.059
55,0.383,109,9.18,-10.84,0.705,0.131,0.018,0.026,0.119
0,0.288,46,7.98,-6.57,0.321,0.312,0.318,0.037,0.012
14,0.255,45,7.53,-4.06,0.137,0.332,0.447,0.073,0.011
24,0.142,43,7.04,-7.14,0.532,0.203,0.055,0.179,0.032
61,0.085,29,6.65,-2.56,0.432,0.111,0.2,0.203,0.054
52,0.065,34,6.58,-3.68,0.094,0.022,0.595,0.058,0.231
1,0.004,37,6.3,-2.81,0.204,0.198,0.439,0.011,0.147
79,-0.23,56,5.14,-4.53,0.644,0.076,0.016,0.078,0.185
