step,phase,J,best_so_far
1,random,0.4549,0.4549
2,random,0.40783,0.4549
3,random,0.36526,0.4549
4,random,0.41155,0.4549
5,random,0.35403,0.4549
6,gp,0.40122,0.4549
7,gp,0.15794,0.4549
8,gp,0.34822,0.4549
9,gp,0.46224,0.46224
10,gp,0.36333,0.46224
11,gp,0.40731,0.46224
12,gp,0.41323,0.46224
13,gp,0.40772,0.46224
14,gp,0.36108,0.46224
15,gp,0.35713,0.46224
16,gp,0.15249,0.46224
17,gp,0.46094,0.46224
18,gp,0.40635,0.46224
19,gp,0.46106,0.46224
20,gp,0.46148,0.46224
