step,phase,J,best_so_far
1,random,0.46609,0.46609
2,random,0.50068,0.50068
3,random,0.48338,0.50068
4,random,0.387,0.50068
5,random,0.17036,0.50068
6,random,0.4997,0.50068
7,random,0.43642,0.50068
8,random,0.32943,0.50068
9,random,0.55087,0.55087
10,random,0.47809,0.55087
11,random,0.46312,0.55087
12,random,0.42683,0.55087
13,random,-0.30977,0.55087
14,random,0.49011,0.55087
15,random,0.50098,0.55087
16,random,0.55116,0.55116
17,random,0.4962,0.55116
18,random,0.47437,0.55116
19,random,0.51976,0.55116
20,random,0.47069,0.55116
21,random,0.53425,0.55116
22,random,0.54327,0.55116
23,random,0.47616,0.55116
24,random,0.36726,0.55116
25,random,0.52964,0.55116
26,random,0.49695,0.55116
27,random,0.41593,0.55116
28,random,0.54661,0.55116
29,random,0.32393,0.55116
30,random,0.54302,0.55116
31,random,0.31131,0.55116
32,random,0.52145,0.55116
33,random,0.50195,0.55116
34,random,0.55625,0.55625
35,random,0.3824,0.55625
36,random,0.49628,0.55625
37,random,0.49897,0.55625
38,random,0.49265,0.55625
39,random,0.46829,0.55625
40,random,0.55077,0.55625
41,gp,0.39889,0.55625
42,gp,-0.46903,0.55625
43,gp,0.5048,0.55625
44,gp,0.55845,0.55845
45,gp,0.3741,0.55845
46,gp,0.50443,0.55845
47,gp,0.55983,0.55983
48,gp,0.45772,0.55983
49,gp,0.54613,0.55983
50,gp,0.56062,0.56062
51,gp,0.5537,0.56062
52,gp,0.55598,0.56062
53,gp,0.55802,0.56062
54,gp,0.50485,0.56062
55,gp,0.54734,0.56062
56,gp,0.4058,0.56062
57,gp,0.56668,0.56668
58,gp,0.56455,0.56668
59,gp,0.55866,0.56668
60,gp,0.55962,0.56668
61,gp,0.56518,0.56668
62,gp,0.55912,0.56668
63,gp,0.56013,0.56668
64,gp,0.51337,0.56668
65,gp,0.34329,0.56668
66,gp,0.5598,0.56668
67,gp,0.54277,0.56668
68,gp,0.55983,0.56668
69,gp,0.56169,0.56668
70,gp,0.55754,0.56668
71,gp,0.50831,0.56668
72,gp,0.55147,0.56668
73,gp,0.54537,0.56668
74,gp,0.55744,0.56668
75,gp,0.55583,0.56668
76,gp,0.55115,0.56668
77,gp,0.55699,0.56668
78,gp,0.48084,0.56668
79,gp,0.56648,0.56668
80,gp,0.54169,0.56668
81,gp,0.4087,0.56668
82,gp,0.5578,0.56668
83,gp,0.55647,0.56668
84,gp,0.50114,0.56668
85,gp,0.55698,0.56668
86,gp,0.45081,0.56668
87,gp,0.53676,0.56668
88,gp,0.56075,0.56668
89,gp,0.49372,0.56668
90,gp,0.51509,0.56668
91,gp,0.49163,0.56668
92,gp,0.56181,0.56668
93,gp,0.50301,0.56668
94,gp,0.50135,0.56668
95,gp,0.50026,0.56668
96,gp,0.49826,0.56668
97,gp,0.56352,0.56668
98,gp,0.56445,0.56668
99,gp,0.50081,0.56668
100,gp,0.56452,0.56668
101,gp,0.50494,0.56668
102,gp,0.56165,0.56668
103,gp,0.55802,0.56668
104,gp,0.56136,0.56668
105,gp,0.49861,0.56668
106,gp,0.55355,0.56668
107,gp,0.557,0.56668
108,gp,0.53909,0.56668
109,gp,0.55751,0.56668
110,gp,0.56519,0.56668
111,gp,0.52591,0.56668
112,gp,0.56996,0.56996
113,gp,0.53313,0.56996
114,gp,0.56225,0.56996
115,gp,0.55347,0.56996
116,gp,0.56684,0.56996
117,gp,0.49892,0.56996
118,gp,0.56131,0.56996
119,gp,0.50096,0.56996
120,gp,0.49091,0.56996
