step,phase,J,best_so_far
1,random,-0.04274,-0.04274
2,random,0.49201,0.49201
3,random,0.4755,0.49201
4,random,0.3282,0.49201
5,random,0.16703,0.49201
6,random,0.38958,0.49201
7,random,0.27724,0.49201
8,random,0.32128,0.49201
9,random,0.49273,0.49273
10,random,0.52935,0.52935
11,random,0.15692,0.52935
12,random,0.06524,0.52935
13,random,-0.31257,0.52935
14,random,0.37984,0.52935
15,random,0.49258,0.52935
16,random,0.54479,0.54479
17,random,0.48977,0.54479
18,random,0.46711,0.54479
19,random,0.51127,0.54479
20,random,0.31011,0.54479
21,random,0.47559,0.54479
22,random,0.53437,0.54479
23,random,0.37111,0.54479
24,random,0.06261,0.54479
25,random,0.5267,0.54479
26,random,0.33638,0.54479
27,random,0.40939,0.54479
28,random,0.54007,0.54479
29,random,0.11436,0.54479
30,random,0.48542,0.54479
31,random,0.25515,0.54479
32,random,0.51767,0.54479
33,random,0.3944,0.54479
34,random,0.55322,0.55322
35,random,0.3714,0.55322
36,random,0.33519,0.55322
37,random,0.23862,0.55322
38,random,0.3851,0.55322
39,random,0.41843,0.55322
40,random,0.54083,0.55322
41,gp,0.49934,0.55322
42,gp,0.47762,0.55322
43,gp,0.50278,0.55322
44,gp,0.50129,0.55322
45,gp,0.55173,0.55322
46,gp,0.55081,0.55322
47,gp,0.53856,0.55322
48,gp,0.38591,0.55322
49,gp,0.45448,0.55322
50,gp,0.50338,0.55322
51,gp,0.55692,0.55692
52,gp,0.54131,0.55692
53,gp,0.49542,0.55692
54,gp,0.5026,0.55692
55,gp,0.50094,0.55692
56,gp,0.54608,0.55692
57,gp,0.54808,0.55692
58,gp,0.54541,0.55692
59,gp,0.55186,0.55692
60,gp,0.54821,0.55692
61,gp,0.49575,0.55692
62,gp,0.55172,0.55692
63,gp,0.54514,0.55692
64,gp,0.55677,0.55692
65,gp,0.55323,0.55692
66,gp,0.55846,0.55846
67,gp,0.53835,0.55846
68,gp,0.55475,0.55846
69,gp,0.54652,0.55846
70,gp,0.54317,0.55846
71,gp,0.55206,0.55846
72,gp,0.55896,0.55896
73,gp,0.50263,0.55896
74,gp,0.50762,0.55896
75,gp,0.53634,0.55896
76,gp,0.54823,0.55896
77,gp,0.54667,0.55896
78,gp,0.54559,0.55896
79,gp,0.53741,0.55896
80,gp,0.55377,0.55896
81,gp,0.50251,0.55896
82,gp,0.55172,0.55896
83,gp,0.5541,0.55896
84,gp,0.49878,0.55896
85,gp,0.5484,0.55896
86,gp,0.54899,0.55896
87,gp,0.5569,0.55896
88,gp,0.55057,0.55896
89,gp,0.49403,0.55896
90,gp,0.553,0.55896
91,gp,0.55287,0.55896
92,gp,0.55545,0.55896
93,gp,0.51189,0.55896
94,gp,0.55505,0.55896
95,gp,0.5069,0.55896
96,gp,0.5124,0.55896
97,gp,0.48566,0.55896
98,gp,0.55709,0.55896
99,gp,0.54312,0.55896
100,gp,0.5274,0.55896
101,gp,0.49805,0.55896
102,gp,0.56146,0.56146
103,gp,0.33581,0.56146
104,gp,0.543,0.56146
105,gp,0.54242,0.56146
106,gp,0.50786,0.56146
107,gp,0.54852,0.56146
108,gp,0.55381,0.56146
109,gp,0.54948,0.56146
110,gp,0.55657,0.56146
111,gp,0.54233,0.56146
112,gp,0.50085,0.56146
113,gp,0.55017,0.56146
114,gp,0.38691,0.56146
115,gp,0.55638,0.56146
116,gp,0.56355,0.56355
117,gp,0.55674,0.56355
118,gp,0.50889,0.56355
119,gp,0.49654,0.56355
120,gp,0.50426,0.56355
