step,phase,J,best_so_far
1,random,-0.33054,-0.33054
2,random,0.37879,0.37879
3,random,-0.10616,0.37879
4,random,0.15275,0.37879
5,random,-0.00496,0.37879
6,random,0.15328,0.37879
7,random,-0.05121,0.37879
8,random,-0.10421,0.37879
9,random,0.05918,0.37879
10,random,-0.36282,0.37879
11,random,-0.47806,0.37879
12,random,0.14919,0.37879
13,random,-0.54544,0.37879
14,random,0.31478,0.37879
15,random,0.15768,0.37879
16,random,0.20819,0.37879
17,random,-0.05387,0.37879
18,random,-0.38235,0.37879
19,random,-0.37648,0.37879
20,random,-0.16529,0.37879
21,gp,0.16062,0.37879
22,gp,0.48665,0.48665
23,gp,0.16384,0.48665
24,gp,0.52639,0.52639
25,gp,0.52443,0.52639
26,gp,0.36978,0.52639
27,gp,0.4859,0.52639
28,gp,0.53185,0.53185
29,gp,0.48598,0.53185
30,gp,0.47304,0.53185
31,gp,0.37868,0.53185
32,gp,0.37103,0.53185
33,gp,0.27168,0.53185
34,gp,0.52794,0.53185
35,gp,0.47505,0.53185
36,gp,0.47834,0.53185
37,gp,0.4672,0.53185
38,gp,0.53786,0.53786
39,gp,0.48202,0.53786
40,gp,0.51591,0.53786
41,gp,0.53971,0.53971
42,gp,0.47816,0.53971
43,gp,0.37009,0.53971
44,gp,0.38572,0.53971
45,gp,0.53026,0.53971
46,gp,0.49916,0.53971
47,gp,0.54107,0.54107
48,gp,0.44037,0.54107
49,gp,0.54541,0.54541
50,gp,0.4785,0.54541
51,gp,0.54126,0.54541
52,gp,0.54547,0.54547
53,gp,0.17297,0.54547
54,gp,0.53732,0.54547
55,gp,0.49612,0.54547
56,gp,0.15989,0.54547
57,gp,0.47108,0.54547
58,gp,0.31227,0.54547
59,gp,0.316,0.54547
60,gp,0.54499,0.54547
61,gp,0.52451,0.54547
62,gp,0.47011,0.54547
63,gp,0.32668,0.54547
64,gp,0.41113,0.54547
65,gp,0.485,0.54547
66,gp,0.52956,0.54547
67,gp,0.48465,0.54547
68,gp,0.54899,0.54899
69,gp,0.41665,0.54899
70,gp,0.31735,0.54899
71,gp,0.43876,0.54899
72,gp,0.53154,0.54899
73,gp,0.2111,0.54899
74,gp,0.49895,0.54899
75,gp,-0.05404,0.54899
76,gp,0.53775,0.54899
77,gp,0.48382,0.54899
78,gp,0.47927,0.54899
79,gp,0.3214,0.54899
80,gp,0.3768,0.54899
81,gp,0.4744,0.54899
82,gp,0.3801,0.54899
83,gp,0.00018,0.54899
84,gp,0.3843,0.54899
85,gp,0.54465,0.54899
86,gp,0.15971,0.54899
87,gp,0.54346,0.54899
88,gp,0.54865,0.54899
89,gp,0.47439,0.54899
90,gp,0.48592,0.54899
91,gp,0.08149,0.54899
92,gp,0.48371,0.54899
93,gp,0.41778,0.54899
94,gp,0.48615,0.54899
95,gp,0.53245,0.54899
96,gp,0.47577,0.54899
97,gp,0.42327,0.54899
98,gp,0.48202,0.54899
99,gp,0.53335,0.54899
100,gp,0.5329,0.54899
101,gp,0.53218,0.54899
102,gp,0.54599,0.54899
103,gp,0.15261,0.54899
104,gp,0.49023,0.54899
105,gp,0.52978,0.54899
106,gp,0.37306,0.54899
107,gp,0.30722,0.54899
108,gp,0.54158,0.54899
109,gp,0.42849,0.54899
110,gp,0.52446,0.54899
111,gp,0.48009,0.54899
112,gp,0.48512,0.54899
113,gp,0.48619,0.54899
114,gp,0.48112,0.54899
115,gp,0.53377,0.54899
116,gp,0.37138,0.54899
117,gp,0.47963,0.54899
118,gp,0.43682,0.54899
119,gp,0.4832,0.54899
120,gp,0.42722,0.54899
