step,phase,J,best_so_far
1,random,-0.32557,-0.32557
2,random,-0.23901,-0.23901
3,random,-0.1976,-0.1976
4,random,-0.19124,-0.19124
5,random,-0.18489,-0.18489
6,random,-0.211,-0.18489
7,random,-0.31308,-0.18489
8,random,-0.13729,-0.13729
9,random,-0.24027,-0.13729
10,random,-0.24199,-0.13729
11,random,-0.1643,-0.13729
12,random,-0.1856,-0.13729
13,random,-0.21539,-0.13729
14,random,-0.2475,-0.13729
15,random,-0.21718,-0.13729
16,random,-0.29801,-0.13729
17,random,-0.16884,-0.13729
18,random,-0.21586,-0.13729
19,random,-0.18185,-0.13729
20,random,-0.31089,-0.13729
21,random,-0.26045,-0.13729
22,random,-0.27824,-0.13729
23,random,-0.23098,-0.13729
24,random,-0.20912,-0.13729
25,random,-0.23441,-0.13729
26,random,-0.20397,-0.13729
27,random,-0.2091,-0.13729
28,random,-0.19301,-0.13729
29,random,-0.18382,-0.13729
30,random,-0.24688,-0.13729
31,random,-0.21019,-0.13729
32,random,-0.19284,-0.13729
33,random,-0.22465,-0.13729
34,random,-0.23357,-0.13729
35,random,-0.19354,-0.13729
36,random,-0.22873,-0.13729
37,random,-0.25773,-0.13729
38,random,-0.16119,-0.13729
39,random,-0.21173,-0.13729
40,random,-0.22608,-0.13729
41,gp,-0.0659,-0.0659
42,gp,-0.13414,-0.0659
43,gp,-0.10688,-0.0659
44,gp,-0.12136,-0.0659
45,gp,-0.09952,-0.0659
46,gp,-0.19799,-0.0659
47,gp,-0.19627,-0.0659
48,gp,-0.14914,-0.0659
49,gp,-0.10245,-0.0659
50,gp,-0.10515,-0.0659
51,gp,-0.07194,-0.0659
52,gp,-0.07282,-0.0659
53,gp,-0.15983,-0.0659
54,gp,-0.06261,-0.06261
55,gp,-0.07895,-0.06261
56,gp,-0.11565,-0.06261
57,gp,-0.12239,-0.06261
58,gp,-0.25678,-0.06261
59,gp,-0.10206,-0.06261
60,gp,-0.14452,-0.06261
61,gp,-0.15131,-0.06261
62,gp,-0.18838,-0.06261
63,gp,-0.12476,-0.06261
64,gp,-0.16096,-0.06261
65,gp,-0.13388,-0.06261
66,gp,-0.11105,-0.06261
67,gp,-0.04599,-0.04599
68,gp,-0.15954,-0.04599
69,gp,-0.05968,-0.04599
70,gp,-0.10813,-0.04599
71,gp,-0.11327,-0.04599
72,gp,-0.06426,-0.04599
73,gp,-0.07184,-0.04599
74,gp,-0.06896,-0.04599
75,gp,-0.12535,-0.04599
76,gp,-0.18892,-0.04599
77,gp,-0.1238,-0.04599
78,gp,-0.13205,-0.04599
79,gp,-0.06323,-0.04599
80,gp,-0.16292,-0.04599
81,gp,-0.10866,-0.04599
82,gp,-0.1943,-0.04599
83,gp,-0.0865,-0.04599
84,gp,-0.08527,-0.04599
85,gp,-0.17516,-0.04599
86,gp,-0.05091,-0.04599
87,gp,-0.17525,-0.04599
88,gp,-0.15375,-0.04599
89,gp,-0.16278,-0.04599
90,gp,-0.12475,-0.04599
91,gp,-0.16658,-0.04599
92,gp,-0.12469,-0.04599
93,gp,-0.11581,-0.04599
94,gp,-0.18491,-0.04599
95,gp,-0.2017,-0.04599
96,gp,-0.1185,-0.04599
97,gp,-0.13683,-0.04599
98,gp,-0.21159,-0.04599
99,gp,-0.13369,-0.04599
100,gp,-0.10887,-0.04599
101,gp,-0.19517,-0.04599
102,gp,-0.07017,-0.04599
103,gp,-0.19224,-0.04599
104,gp,-0.09749,-0.04599
105,gp,-0.05996,-0.04599
106,gp,-0.07007,-0.04599
107,gp,-0.14383,-0.04599
108,gp,-0.16779,-0.04599
109,gp,-0.10768,-0.04599
110,gp,-0.09295,-0.04599
111,gp,-0.15381,-0.04599
112,gp,-0.09399,-0.04599
113,gp,-0.07268,-0.04599
114,gp,-0.1249,-0.04599
115,gp,-0.09965,-0.04599
116,gp,-0.15722,-0.04599
117,gp,-0.13189,-0.04599
118,gp,-0.10871,-0.04599
119,gp,-0.09029,-0.04599
120,gp,-0.18091,-0.04599
