step,phase,J,best_so_far
1,random,-0.33044,-0.33044
2,random,-0.26979,-0.26979
3,random,-0.2023,-0.2023
4,random,-0.18582,-0.18582
5,random,-0.19308,-0.18582
6,random,-0.27292,-0.18582
7,random,-0.30957,-0.18582
8,random,-0.14036,-0.14036
9,random,-0.23744,-0.14036
10,random,-0.23717,-0.14036
11,random,-0.20626,-0.14036
12,random,-0.19968,-0.14036
13,random,-0.29904,-0.14036
14,random,-0.26892,-0.14036
15,random,-0.22564,-0.14036
16,random,-0.30219,-0.14036
17,random,-0.19239,-0.14036
18,random,-0.21488,-0.14036
19,random,-0.18887,-0.14036
20,random,-0.31449,-0.14036
21,random,-0.27468,-0.14036
22,random,-0.27631,-0.14036
23,random,-0.22962,-0.14036
24,random,-0.20147,-0.14036
25,random,-0.22228,-0.14036
26,random,-0.22982,-0.14036
27,random,-0.20123,-0.14036
28,random,-0.22297,-0.14036
29,random,-0.18478,-0.14036
30,random,-0.24021,-0.14036
31,random,-0.20984,-0.14036
32,random,-0.18837,-0.14036
33,random,-0.23239,-0.14036
34,random,-0.23536,-0.14036
35,random,-0.21664,-0.14036
36,random,-0.22029,-0.14036
37,random,-0.22803,-0.14036
38,random,-0.17595,-0.14036
39,random,-0.22445,-0.14036
40,random,-0.24448,-0.14036
41,gp,-0.05914,-0.05914
42,gp,-0.14408,-0.05914
43,gp,-0.14553,-0.05914
44,gp,-0.09943,-0.05914
45,gp,-0.19349,-0.05914
46,gp,-0.2157,-0.05914
47,gp,-0.08898,-0.05914
48,gp,-0.10692,-0.05914
49,gp,-0.10064,-0.05914
50,gp,-0.09689,-0.05914
51,gp,-0.16333,-0.05914
52,gp,-0.16903,-0.05914
53,gp,-0.18983,-0.05914
54,gp,-0.06898,-0.05914
55,gp,-0.11991,-0.05914
56,gp,-0.10866,-0.05914
57,gp,-0.08803,-0.05914
58,gp,-0.25462,-0.05914
59,gp,-0.22949,-0.05914
60,gp,-0.12414,-0.05914
61,gp,-0.1137,-0.05914
62,gp,-0.15346,-0.05914
63,gp,-0.11476,-0.05914
64,gp,-0.12727,-0.05914
65,gp,-0.06745,-0.05914
66,gp,-0.10921,-0.05914
67,gp,-0.05027,-0.05027
68,gp,-0.20199,-0.05027
69,gp,-0.06399,-0.05027
70,gp,-0.11854,-0.05027
71,gp,-0.10496,-0.05027
72,gp,-0.08061,-0.05027
73,gp,-0.17459,-0.05027
74,gp,-0.06072,-0.05027
75,gp,-0.1858,-0.05027
76,gp,-0.16071,-0.05027
77,gp,-0.12316,-0.05027
78,gp,-0.12158,-0.05027
79,gp,-0.06186,-0.05027
80,gp,-0.10141,-0.05027
81,gp,-0.1531,-0.05027
82,gp,-0.18842,-0.05027
83,gp,-0.11088,-0.05027
84,gp,-0.07053,-0.05027
85,gp,-0.21699,-0.05027
86,gp,-0.05471,-0.05027
87,gp,-0.2011,-0.05027
88,gp,-0.1352,-0.05027
89,gp,-0.14099,-0.05027
90,gp,-0.19192,-0.05027
91,gp,-0.06066,-0.05027
92,gp,-0.09062,-0.05027
93,gp,-0.13998,-0.05027
94,gp,-0.12596,-0.05027
95,gp,-0.19598,-0.05027
96,gp,-0.12488,-0.05027
97,gp,-0.14471,-0.05027
98,gp,-0.21483,-0.05027
99,gp,-0.11893,-0.05027
100,gp,-0.1206,-0.05027
101,gp,-0.14292,-0.05027
102,gp,-0.17955,-0.05027
103,gp,-0.1233,-0.05027
104,gp,-0.0899,-0.05027
105,gp,-0.06739,-0.05027
106,gp,-0.07476,-0.05027
107,gp,-0.04796,-0.04796
108,gp,-0.16457,-0.04796
109,gp,-0.14894,-0.04796
110,gp,-0.10831,-0.04796
111,gp,-0.11422,-0.04796
112,gp,-0.24305,-0.04796
113,gp,-0.1995,-0.04796
114,gp,-0.17137,-0.04796
115,gp,-0.22234,-0.04796
116,gp,-0.10147,-0.04796
117,gp,-0.21868,-0.04796
118,gp,-0.04112,-0.04112
119,gp,-0.23806,-0.04112
120,gp,-0.08021,-0.04112
