step,phase,J,best_so_far
1,random,-0.50786,-0.50786
2,random,0.41789,0.41789
3,random,-0.14434,0.41789
4,random,-0.14302,0.41789
5,random,0.06062,0.41789
6,random,-0.40692,0.41789
7,random,-0.13689,0.41789
8,random,-0.40652,0.41789
9,random,-0.44746,0.41789
10,random,0.30731,0.41789
11,random,-0.10592,0.41789
12,random,0.1616,0.41789
13,random,-0.15928,0.41789
14,random,-0.10004,0.41789
15,random,-0.30226,0.41789
16,random,-0.4519,0.41789
17,random,-0.51318,0.41789
18,random,-0.31032,0.41789
19,random,-0.30879,0.41789
20,random,-0.45814,0.41789
21,random,0.05006,0.41789
22,random,0.05823,0.41789
23,random,0.41274,0.41789
24,random,-0.30573,0.41789
25,random,0.40923,0.41789
26,random,-0.04567,0.41789
27,random,0.00032,0.41789
28,random,0.06697,0.41789
29,random,-0.05061,0.41789
30,random,-0.44453,0.41789
31,random,-0.50768,0.41789
32,random,-0.04934,0.41789
33,random,-0.40039,0.41789
34,random,-0.03108,0.41789
35,random,0.15722,0.41789
36,random,-0.24324,0.41789
37,random,-0.09576,0.41789
38,random,0.26837,0.41789
39,random,0.35706,0.41789
40,random,-0.45481,0.41789
41,gp,0.07004,0.41789
42,gp,0.46867,0.46867
43,gp,0.46861,0.46867
44,gp,0.25956,0.46867
45,gp,0.52319,0.52319
46,gp,0.46938,0.52319
47,gp,0.31189,0.52319
48,gp,0.46568,0.52319
49,gp,0.46901,0.52319
50,gp,0.52283,0.52319
51,gp,0.36352,0.52319
52,gp,0.46814,0.52319
53,gp,0.3701,0.52319
54,gp,0.47471,0.52319
55,gp,0.4748,0.52319
56,gp,0.51859,0.52319
57,gp,0.46546,0.52319
58,gp,0.16695,0.52319
59,gp,0.31007,0.52319
60,gp,0.46547,0.52319
61,gp,0.52496,0.52496
62,gp,0.52087,0.52496
63,gp,0.46463,0.52496
64,gp,0.46921,0.52496
65,gp,0.37347,0.52496
66,gp,0.45926,0.52496
67,gp,0.47758,0.52496
68,gp,0.05977,0.52496
69,gp,0.11085,0.52496
70,gp,0.47477,0.52496
71,gp,0.41966,0.52496
72,gp,0.16851,0.52496
73,gp,0.47118,0.52496
74,gp,0.32429,0.52496
75,gp,0.46783,0.52496
76,gp,0.4721,0.52496
77,gp,-0.21067,0.52496
78,gp,0.36789,0.52496
79,gp,0.47696,0.52496
80,gp,0.31582,0.52496
81,gp,0.37393,0.52496
82,gp,0.27374,0.52496
83,gp,0.31986,0.52496
84,gp,0.52617,0.52617
85,gp,0.41434,0.52617
86,gp,0.06613,0.52617
87,gp,0.16423,0.52617
88,gp,0.16411,0.52617
89,gp,0.37597,0.52617
90,gp,0.45422,0.52617
91,gp,0.46988,0.52617
92,gp,0.16861,0.52617
93,gp,0.47329,0.52617
94,gp,0.26219,0.52617
95,gp,0.46399,0.52617
96,gp,0.4737,0.52617
97,gp,0.47516,0.52617
98,gp,0.51582,0.52617
99,gp,0.46145,0.52617
100,gp,0.16401,0.52617
101,gp,0.2164,0.52617
102,gp,0.51256,0.52617
103,gp,0.36838,0.52617
104,gp,0.36885,0.52617
105,gp,0.37418,0.52617
106,gp,0.47428,0.52617
107,gp,0.31181,0.52617
108,gp,0.32572,0.52617
109,gp,0.32709,0.52617
110,gp,0.37096,0.52617
111,gp,0.52333,0.52617
112,gp,0.31878,0.52617
113,gp,0.42297,0.52617
114,gp,0.16484,0.52617
115,gp,0.42362,0.52617
116,gp,0.26018,0.52617
117,gp,0.36623,0.52617
118,gp,0.37494,0.52617
119,gp,0.46384,0.52617
120,gp,0.30542,0.52617
