step,phase,J,best_so_far
1,random,-0.50546,-0.50546
2,random,0.27051,0.27051
3,random,0.15682,0.27051
4,random,0.06132,0.27051
5,random,0.46743,0.46743
6,random,-0.40407,0.46743
7,random,0.16763,0.46743
8,random,-0.40228,0.46743
9,random,-0.29321,0.46743
10,random,0.1066,0.46743
11,random,-0.00604,0.46743
12,random,0.16534,0.46743
13,random,-0.45987,0.46743
14,random,-0.09513,0.46743
15,random,-0.30049,0.46743
16,random,-0.39797,0.46743
17,random,-0.51113,0.46743
18,random,-0.15986,0.46743
19,random,-0.3071,0.46743
20,random,-0.35507,0.46743
21,random,0.1028,0.46743
22,random,0.26008,0.46743
23,random,0.16412,0.46743
24,random,-0.4044,0.46743
25,random,0.31118,0.46743
26,random,-0.04474,0.46743
27,random,0.05113,0.46743
28,random,0.2717,0.46743
29,random,-0.04766,0.46743
30,random,-0.23981,0.46743
31,random,-0.40732,0.46743
32,random,-0.04598,0.46743
33,random,-0.39795,0.46743
34,random,0.17358,0.46743
35,random,0.15962,0.46743
36,random,-0.13896,0.46743
37,random,0.05535,0.46743
38,random,0.42064,0.46743
39,random,0.35818,0.46743
40,random,-0.30051,0.46743
41,gp,0.07426,0.46743
42,gp,-0.03706,0.46743
43,gp,0.37196,0.46743
44,gp,0.47565,0.47565
45,gp,0.22606,0.47565
46,gp,0.42428,0.47565
47,gp,0.22427,0.47565
48,gp,0.2764,0.47565
49,gp,0.46758,0.47565
50,gp,0.47047,0.47565
51,gp,0.37251,0.47565
52,gp,0.37318,0.47565
53,gp,0.42273,0.47565
54,gp,0.3035,0.47565
55,gp,0.31678,0.47565
56,gp,0.47388,0.47565
57,gp,0.21166,0.47565
58,gp,0.31865,0.47565
59,gp,0.16998,0.47565
60,gp,0.17612,0.47565
61,gp,0.27126,0.47565
62,gp,0.4641,0.47565
63,gp,0.46484,0.47565
64,gp,0.4212,0.47565
65,gp,0.26837,0.47565
66,gp,0.35904,0.47565
67,gp,0.31484,0.47565
68,gp,0.31953,0.47565
69,gp,0.52825,0.52825
70,gp,0.20911,0.52825
71,gp,0.20524,0.52825
72,gp,0.15643,0.52825
73,gp,0.21843,0.52825
74,gp,0.24861,0.52825
75,gp,0.29843,0.52825
76,gp,0.36818,0.52825
77,gp,0.16868,0.52825
78,gp,0.47743,0.52825
79,gp,0.16954,0.52825
80,gp,0.22906,0.52825
81,gp,0.21564,0.52825
82,gp,0.32686,0.52825
83,gp,0.42349,0.52825
84,gp,0.46583,0.52825
85,gp,0.46924,0.52825
86,gp,-0.46142,0.52825
87,gp,0.32396,0.52825
88,gp,0.42254,0.52825
89,gp,0.27721,0.52825
90,gp,0.3719,0.52825
91,gp,0.41839,0.52825
92,gp,0.06202,0.52825
93,gp,0.07101,0.52825
94,gp,0.30747,0.52825
95,gp,0.0153,0.52825
96,gp,0.31732,0.52825
97,gp,0.1681,0.52825
98,gp,0.42264,0.52825
99,gp,0.37145,0.52825
100,gp,0.46874,0.52825
101,gp,0.32748,0.52825
102,gp,0.4704,0.52825
103,gp,-0.19203,0.52825
104,gp,0.37254,0.52825
105,gp,0.31235,0.52825
106,gp,0.29823,0.52825
107,gp,0.45022,0.52825
108,gp,0.37124,0.52825
109,gp,-0.0939,0.52825
110,gp,0.31862,0.52825
111,gp,0.526,0.52825
112,gp,0.46979,0.52825
113,gp,0.22586,0.52825
114,gp,0.16305,0.52825
115,gp,0.37041,0.52825
116,gp,0.26007,0.52825
117,gp,0.41432,0.52825
118,gp,0.51576,0.52825
119,gp,0.47492,0.52825
120,gp,0.30514,0.52825
