step,phase,J,best_so_far
1,random,-0.29476,-0.29476
2,random,-0.24484,-0.24484
3,random,-0.04411,-0.04411
4,random,-0.40208,-0.04411
5,random,-0.24475,-0.04411
6,random,0.16067,0.16067
7,random,-0.45659,0.16067
8,random,-0.39609,0.16067
9,random,0.15895,0.16067
10,random,0.45796,0.45796
11,random,-0.29373,0.45796
12,random,-0.46628,0.45796
13,random,-0.29708,0.45796
14,random,-0.04421,0.45796
15,random,0.11081,0.45796
16,random,0.01029,0.45796
17,random,0.21537,0.45796
18,random,0.15674,0.45796
19,random,-0.0473,0.45796
20,random,-0.09761,0.45796
21,gp,0.16267,0.45796
22,gp,0.05734,0.45796
23,gp,0.4072,0.45796
24,gp,0.41003,0.45796
25,gp,-0.04487,0.45796
26,gp,0.50905,0.50905
27,gp,0.5103,0.5103
28,gp,0.31113,0.5103
29,gp,0.51695,0.51695
30,gp,0.36042,0.51695
31,gp,0.46294,0.51695
32,gp,0.511,0.51695
33,gp,0.4683,0.51695
34,gp,0.46307,0.51695
35,gp,0.36998,0.51695
36,gp,0.5162,0.51695
37,gp,0.36973,0.51695
38,gp,0.46923,0.51695
39,gp,0.51217,0.51695
40,gp,0.46422,0.51695
41,gp,0.3607,0.51695
42,gp,0.51457,0.51695
43,gp,0.51119,0.51695
44,gp,0.36577,0.51695
45,gp,0.35711,0.51695
46,gp,0.4632,0.51695
47,gp,0.46042,0.51695
48,gp,0.46467,0.51695
49,gp,0.51331,0.51695
50,gp,0.46443,0.51695
51,gp,0.36607,0.51695
52,gp,0.37047,0.51695
53,gp,0.36171,0.51695
54,gp,0.51794,0.51794
55,gp,0.51233,0.51794
56,gp,0.45934,0.51794
57,gp,0.46933,0.51794
58,gp,-0.29495,0.51794
59,gp,0.4697,0.51794
60,gp,0.45948,0.51794
61,gp,0.30929,0.51794
62,gp,0.05725,0.51794
63,gp,0.1619,0.51794
64,gp,0.51269,0.51794
65,gp,0.47056,0.51794
66,gp,0.3623,0.51794
67,gp,0.46277,0.51794
68,gp,0.4642,0.51794
69,gp,0.46508,0.51794
70,gp,0.1703,0.51794
71,gp,0.46142,0.51794
72,gp,0.3659,0.51794
73,gp,0.16751,0.51794
74,gp,0.46627,0.51794
75,gp,0.35979,0.51794
76,gp,0.51447,0.51794
77,gp,0.46327,0.51794
78,gp,0.45919,0.51794
79,gp,0.46425,0.51794
80,gp,0.51198,0.51794
