step,phase,J,best_so_far
1,random,-0.34562,-0.34562
2,random,0.05796,0.05796
3,random,0.20679,0.20679
4,random,-0.40135,0.20679
5,random,-0.04292,0.20679
6,random,0.2113,0.2113
7,random,-0.40484,0.2113
8,random,-0.29434,0.2113
9,random,0.16137,0.2113
10,random,0.40273,0.40273
11,random,-0.29725,0.40273
12,random,-0.46536,0.40273
13,random,-0.35277,0.40273
14,random,-0.04184,0.40273
15,random,0.11103,0.40273
16,random,0.05981,0.40273
17,random,0.21685,0.40273
18,random,0.00447,0.40273
19,random,-0.04785,0.40273
20,random,0.05524,0.40273
21,gp,0.20583,0.40273
22,gp,0.45432,0.45432
23,gp,0.05026,0.45432
24,gp,0.35074,0.45432
25,gp,0.35612,0.45432
26,gp,0.15406,0.45432
27,gp,0.46284,0.46284
28,gp,0.16331,0.46284
29,gp,0.36147,0.46284
30,gp,0.36044,0.46284
31,gp,0.5122,0.5122
32,gp,0.35673,0.5122
33,gp,0.36054,0.5122
34,gp,0.46132,0.5122
35,gp,0.45838,0.5122
36,gp,0.31574,0.5122
37,gp,0.45364,0.5122
38,gp,0.51297,0.51297
39,gp,0.35445,0.51297
40,gp,0.46068,0.51297
41,gp,0.35949,0.51297
42,gp,0.36032,0.51297
43,gp,0.45469,0.51297
44,gp,0.26023,0.51297
45,gp,0.46205,0.51297
46,gp,0.45611,0.51297
47,gp,0.21699,0.51297
48,gp,0.50943,0.51297
49,gp,0.50723,0.51297
50,gp,0.45579,0.51297
51,gp,0.31261,0.51297
52,gp,0.46114,0.51297
53,gp,0.16487,0.51297
54,gp,0.35749,0.51297
55,gp,0.45329,0.51297
56,gp,0.46284,0.51297
57,gp,0.36427,0.51297
58,gp,0.21478,0.51297
59,gp,0.4645,0.51297
60,gp,0.31283,0.51297
61,gp,-0.35407,0.51297
62,gp,-0.25091,0.51297
63,gp,0.20909,0.51297
64,gp,0.45734,0.51297
65,gp,0.36962,0.51297
66,gp,0.46385,0.51297
67,gp,0.22002,0.51297
68,gp,0.45937,0.51297
69,gp,0.45274,0.51297
70,gp,0.3212,0.51297
71,gp,0.51356,0.51356
72,gp,0.26438,0.51356
73,gp,0.46174,0.51356
74,gp,0.36067,0.51356
75,gp,0.45963,0.51356
76,gp,0.51217,0.51356
77,gp,0.36681,0.51356
78,gp,0.4702,0.51356
79,gp,0.36402,0.51356
80,gp,0.2643,0.51356
