step,phase,J,best_so_far
1,random,-0.19413,-0.19413
2,random,0.05655,0.05655
3,random,0.15757,0.15757
4,random,-0.39921,0.15757
5,random,0.10818,0.15757
6,random,0.16229,0.16229
7,random,-0.35529,0.16229
8,random,-0.29469,0.16229
9,random,0.16157,0.16229
10,random,0.45896,0.45896
11,random,-0.14029,0.45896
12,random,-0.46614,0.45896
13,random,-0.34548,0.45896
14,random,-0.04209,0.45896
15,random,0.1136,0.45896
16,random,0.01142,0.45896
17,random,0.16696,0.45896
18,random,0.15891,0.45896
19,random,0.10554,0.45896
20,random,0.1042,0.45896
21,gp,0.35943,0.45896
22,gp,0.2654,0.45896
23,gp,0.3084,0.45896
24,gp,0.46344,0.46344
25,gp,0.21014,0.46344
26,gp,0.06409,0.46344
27,gp,0.45865,0.46344
28,gp,-0.1468,0.46344
29,gp,0.46265,0.46344
30,gp,0.41245,0.46344
31,gp,-0.24247,0.46344
32,gp,0.3673,0.46344
33,gp,0.45844,0.46344
34,gp,0.46073,0.46344
35,gp,0.4158,0.46344
36,gp,0.46061,0.46344
37,gp,0.45579,0.46344
38,gp,0.50732,0.50732
39,gp,0.41687,0.50732
40,gp,0.41613,0.50732
41,gp,0.21447,0.50732
42,gp,0.47089,0.50732
43,gp,0.46347,0.50732
44,gp,0.21997,0.50732
45,gp,0.10952,0.50732
46,gp,0.4595,0.50732
47,gp,0.35908,0.50732
48,gp,0.46036,0.50732
49,gp,0.46698,0.50732
50,gp,0.46176,0.50732
51,gp,0.36563,0.50732
52,gp,0.26723,0.50732
53,gp,0.46569,0.50732
54,gp,0.35898,0.50732
55,gp,0.20921,0.50732
56,gp,0.31253,0.50732
57,gp,0.46866,0.50732
58,gp,0.06515,0.50732
59,gp,0.35987,0.50732
60,gp,0.45733,0.50732
61,gp,0.26398,0.50732
62,gp,0.46383,0.50732
63,gp,0.45975,0.50732
64,gp,0.51266,0.51266
65,gp,0.37162,0.51266
66,gp,0.36204,0.51266
67,gp,0.41476,0.51266
68,gp,0.46319,0.51266
69,gp,0.4633,0.51266
70,gp,0.46692,0.51266
71,gp,0.11547,0.51266
72,gp,0.46591,0.51266
73,gp,0.45814,0.51266
74,gp,0.51304,0.51304
75,gp,0.50591,0.51304
76,gp,0.3547,0.51304
77,gp,0.47041,0.51304
78,gp,0.45685,0.51304
79,gp,0.46336,0.51304
80,gp,0.51647,0.51647
