step,phase,J,best_so_far
1,random,0.50402,0.50402
2,random,0.49204,0.50402
3,random,0.50239,0.50402
4,random,0.54877,0.54877
5,random,0.5537,0.5537
6,random,0.55563,0.55563
7,random,0.54202,0.55563
8,random,0.55256,0.55563
9,random,0.55523,0.55563
10,random,0.49626,0.55563
11,random,0.53903,0.55563
12,random,0.53642,0.55563
13,random,0.47447,0.55563
14,random,0.5516,0.55563
15,random,0.55489,0.55563
16,random,0.55578,0.55578
17,random,0.55442,0.55578
18,random,0.55809,0.55809
19,random,0.55502,0.55809
20,random,0.55336,0.55809
21,random,0.55203,0.55809
22,random,0.48639,0.55809
23,random,0.47477,0.55809
24,random,0.48519,0.55809
25,random,0.5565,0.55809
26,random,0.55364,0.55809
27,random,0.54049,0.55809
28,random,0.54721,0.55809
29,random,0.53028,0.55809
30,random,0.55181,0.55809
31,random,0.55243,0.55809
32,random,0.55132,0.55809
33,random,0.55309,0.55809
34,random,0.5533,0.55809
35,random,0.48914,0.55809
36,random,0.54834,0.55809
37,random,0.55528,0.55809
38,random,0.49137,0.55809
39,random,0.38478,0.55809
40,random,0.55402,0.55809
41,gp,0.55557,0.55809
42,gp,0.55011,0.55809
43,gp,0.5509,0.55809
44,gp,0.55672,0.55809
45,gp,0.54974,0.55809
46,gp,0.55098,0.55809
47,gp,0.55025,0.55809
48,gp,0.55556,0.55809
49,gp,0.55195,0.55809
50,gp,0.50937,0.55809
51,gp,0.54849,0.55809
52,gp,0.55476,0.55809
53,gp,0.55219,0.55809
54,gp,0.55303,0.55809
55,gp,0.55265,0.55809
56,gp,0.55543,0.55809
57,gp,0.55575,0.55809
58,gp,0.55696,0.55809
59,gp,0.54552,0.55809
60,gp,0.55377,0.55809
61,gp,0.55328,0.55809
62,gp,0.55581,0.55809
63,gp,0.55741,0.55809
64,gp,0.54853,0.55809
65,gp,0.55711,0.55809
66,gp,0.55279,0.55809
67,gp,0.55476,0.55809
68,gp,0.55388,0.55809
69,gp,0.5529,0.55809
70,gp,0.55016,0.55809
71,gp,0.55475,0.55809
72,gp,0.5563,0.55809
73,gp,0.55437,0.55809
74,gp,0.55631,0.55809
75,gp,0.49449,0.55809
76,gp,0.5051,0.55809
77,gp,0.5445,0.55809
78,gp,0.55622,0.55809
79,gp,0.55683,0.55809
80,gp,0.55392,0.55809
81,gp,0.55459,0.55809
82,gp,0.55548,0.55809
83,gp,0.55544,0.55809
84,gp,0.55493,0.55809
85,gp,0.50011,0.55809
86,gp,0.5572,0.55809
87,gp,0.54961,0.55809
88,gp,0.55581,0.55809
89,gp,0.55596,0.55809
90,gp,0.55797,0.55809
91,gp,0.55037,0.55809
92,gp,0.55108,0.55809
93,gp,0.55214,0.55809
94,gp,0.55394,0.55809
95,gp,0.55734,0.55809
96,gp,0.49492,0.55809
97,gp,0.5575,0.55809
98,gp,0.53435,0.55809
99,gp,0.55488,0.55809
100,gp,0.55463,0.55809
101,gp,0.55436,0.55809
102,gp,0.55879,0.55879
103,gp,0.55369,0.55879
104,gp,0.55663,0.55879
105,gp,0.54126,0.55879
106,gp,0.55324,0.55879
107,gp,0.55359,0.55879
108,gp,0.55046,0.55879
109,gp,0.55316,0.55879
110,gp,0.56007,0.56007
111,gp,0.5561,0.56007
112,gp,0.55679,0.56007
113,gp,0.55278,0.56007
114,gp,0.55237,0.56007
115,gp,0.55379,0.56007
116,gp,0.55462,0.56007
117,gp,0.55843,0.56007
118,gp,0.55553,0.56007
119,gp,0.5504,0.56007
120,gp,0.5553,0.56007
