test_start,test_end,model_path,imp_tech_trend,imp_tech_extension,imp_tech_volume,imp_mom_12_1,imp_mom_3m,imp_mom_rs,imp_qual_gpa,imp_qual_fcf,imp_qual_roa,imp_fund_value,imp_fund_growth,imp_earnings_drift,IC_test,Mono_test,Q5Q1_test_pct,TopRet_test_pct
2023-01,2023-01,reports/regression\nifty500\sub\lambdarank_models\fold001_2023-01.txt,30.645210136686728,76.76540138103883,0.0,108.30815661189263,51.13428876569742,205.45377428657957,0.0,0.0,0.0,15.439287064388736,70.2159970591656,91.25055731669153,-0.1496,-0.3,-3.12,-64.21
2023-02,2023-02,reports/regression\nifty500\sub\lambdarank_models\fold002_2023-02.txt,46.77794159541372,111.99966427104664,0.0,87.86107170884497,48.25882100123272,50.205635251593776,0.0,0.0,0.0,8.717833046673604,138.86946428881492,68.32697004457623,0.2294,1.0,6.04,47.51
2023-03,2023-03,reports/regression\nifty500\sub\lambdarank_models\fold003_2023-03.txt,31.439087907601788,107.19997578034236,0.0,164.20768066274468,51.74513818923151,37.12963596903137,0.0,0.0,0.0,5.37985141653553,66.59998586442998,87.31996861220614,0.1957,0.9,6.04,142.05
2023-04,2023-04,reports/regression\nifty500\sub\lambdarank_models\fold004_2023-04.txt,35.374191578361206,70.73211314573155,0.0,171.16638749817503,26.71323734434918,43.1017848427,0.0,0.0,0.0,10.390673757792683,55.45176460536459,95.3489315399529,-0.0044,0.1,0.74,91.22
2023-05,2023-05,reports/regression\nifty500\sub\lambdarank_models\fold005_2023-05.txt,17.61639778395329,48.90493190218285,0.0,218.05350887731765,27.304969100339804,29.57001695294457,0.0,0.0,0.0,15.919135788008134,56.150333212004625,97.06210758002726,0.0832,0.9,2.97,113.83
2023-06,2023-06,reports/regression\nifty500\sub\lambdarank_models\fold006_2023-06.txt,25.35897548144567,88.8771301935027,0.0,215.63095096365032,44.86286249375553,48.34100693948858,0.0,0.0,0.0,9.933520699059045,80.31622646473761,71.38109175285416,0.209,1.0,7.19,145.87
2023-07,2023-07,reports/regression\nifty500\sub\lambdarank_models\fold007_2023-07.txt,18.886489465949126,70.01705043523543,0.0,242.85043666884667,50.27883219470823,89.24347264011885,0.0,0.0,0.0,17.04372467856774,83.7599427136488,101.58049546010034,0.0419,0.3,2.88,108.48
2023-08,2023-08,reports/regression\nifty500\sub\lambdarank_models\fold008_2023-08.txt,23.54402090757503,79.44458914873394,0.0,248.9373158219678,44.602664976686356,135.7894752602233,0.0,0.0,0.0,15.524576822007475,80.3010530315778,92.49394282358116,0.0377,0.7,3.78,74.21
2023-09,2023-09,reports/regression\nifty500\sub\lambdarank_models\fold009_2023-09.txt,15.137560811737785,83.44852416754838,0.0,144.7977139973773,41.17535663812305,127.87017181540432,0.0,0.0,0.0,28.78702883234837,117.89047824764839,135.15359931861167,0.0486,0.9,3.11,-2.25
2023-10,2023-10,reports/regression\nifty500\sub\lambdarank_models\fold010_2023-10.txt,11.339051942262813,89.91468780826108,0.0,256.2894270398101,34.92887099354266,52.280056966730626,0.0,0.0,0.0,24.163456377491457,68.5003788101385,104.49474626833398,0.1387,1.0,3.48,150.61
