step,phase,J,best_so_far
1,random,0.50942,0.50942
2,random,0.51939,0.51939
3,random,0.41544,0.51939
4,random,0.47353,0.51939
5,random,0.31807,0.51939
6,random,0.47953,0.51939
7,random,0.46734,0.51939
8,random,0.35605,0.51939
9,random,0.53355,0.53355
10,random,0.54222,0.54222
11,random,0.47101,0.54222
12,random,0.20738,0.54222
13,random,-0.29807,0.54222
14,random,0.41689,0.54222
15,random,0.53599,0.54222
16,random,0.52647,0.54222
17,random,0.52881,0.54222
18,random,0.53184,0.54222
19,random,0.52133,0.54222
20,random,0.40679,0.54222
21,random,0.47287,0.54222
22,random,0.46979,0.54222
23,random,0.15876,0.54222
24,random,0.4213,0.54222
25,random,0.47923,0.54222
26,random,0.52272,0.54222
27,random,0.36876,0.54222
28,random,0.52769,0.54222
29,random,0.19649,0.54222
30,random,0.52674,0.54222
31,random,0.46304,0.54222
32,random,0.51886,0.54222
33,random,0.53403,0.54222
34,random,0.48399,0.54222
35,random,0.46701,0.54222
36,random,0.4696,0.54222
37,random,0.53172,0.54222
38,random,0.52176,0.54222
39,random,0.37393,0.54222
40,random,0.52594,0.54222
41,gp,0.53537,0.54222
42,gp,0.53575,0.54222
43,gp,0.53682,0.54222
44,gp,0.53651,0.54222
45,gp,0.49461,0.54222
46,gp,0.54222,0.54222
47,gp,0.53057,0.54222
48,gp,0.4832,0.54222
49,gp,0.53587,0.54222
50,gp,0.54189,0.54222
51,gp,0.53425,0.54222
52,gp,0.52065,0.54222
53,gp,0.54651,0.54651
54,gp,0.54304,0.54651
55,gp,0.54655,0.54655
56,gp,0.53016,0.54655
57,gp,0.49785,0.54655
58,gp,0.5396,0.54655
59,gp,0.5329,0.54655
60,gp,0.52598,0.54655
61,gp,0.54074,0.54655
62,gp,0.54325,0.54655
63,gp,0.5323,0.54655
64,gp,0.48939,0.54655
65,gp,0.54103,0.54655
66,gp,0.48467,0.54655
67,gp,0.54183,0.54655
68,gp,0.54643,0.54655
69,gp,0.53907,0.54655
70,gp,0.52967,0.54655
71,gp,0.48315,0.54655
72,gp,0.54152,0.54655
73,gp,0.46961,0.54655
74,gp,0.53957,0.54655
75,gp,0.54286,0.54655
76,gp,0.5399,0.54655
77,gp,0.48293,0.54655
78,gp,0.48764,0.54655
79,gp,0.48352,0.54655
80,gp,0.5345,0.54655
81,gp,0.52468,0.54655
82,gp,0.53461,0.54655
83,gp,0.53694,0.54655
84,gp,0.53115,0.54655
85,gp,0.54566,0.54655
86,gp,0.47173,0.54655
87,gp,0.53521,0.54655
88,gp,0.53993,0.54655
89,gp,0.53929,0.54655
90,gp,0.48826,0.54655
91,gp,0.49333,0.54655
92,gp,0.53507,0.54655
93,gp,0.53973,0.54655
94,gp,0.53173,0.54655
95,gp,0.53018,0.54655
96,gp,0.53061,0.54655
97,gp,0.54208,0.54655
98,gp,0.5282,0.54655
99,gp,0.52936,0.54655
100,gp,0.54317,0.54655
101,gp,0.53324,0.54655
102,gp,0.50552,0.54655
103,gp,0.5381,0.54655
104,gp,0.20946,0.54655
105,gp,0.54125,0.54655
106,gp,0.53575,0.54655
107,gp,0.52763,0.54655
108,gp,0.47775,0.54655
109,gp,0.52754,0.54655
110,gp,0.52482,0.54655
111,gp,0.53126,0.54655
112,gp,0.53813,0.54655
113,gp,0.48909,0.54655
114,gp,0.53573,0.54655
115,gp,0.27332,0.54655
116,gp,0.53493,0.54655
117,gp,0.53803,0.54655
118,gp,0.43212,0.54655
119,gp,0.54315,0.54655
120,gp,0.53677,0.54655
