step,phase,J,best_so_far
1,random,0.52097,0.52097
2,random,0.47406,0.52097
3,random,0.52358,0.52358
4,random,0.48391,0.52358
5,random,0.35961,0.52358
6,random,0.48654,0.52358
7,random,0.52888,0.52888
8,random,0.51725,0.52888
9,random,0.53488,0.53488
10,random,0.49422,0.53488
11,random,0.48324,0.53488
12,random,0.37426,0.53488
13,random,0.46656,0.53488
14,random,0.41969,0.53488
15,random,0.54324,0.54324
16,random,0.48519,0.54324
17,random,0.53073,0.54324
18,random,0.54203,0.54324
19,random,0.52851,0.54324
20,random,0.46304,0.54324
21,random,0.53429,0.54324
22,random,0.51529,0.54324
23,random,0.31899,0.54324
24,random,0.53548,0.54324
25,random,0.3818,0.54324
26,random,0.53618,0.54324
27,random,0.47914,0.54324
28,random,0.47008,0.54324
29,random,0.46646,0.54324
30,random,0.53198,0.54324
31,random,0.47222,0.54324
32,random,0.36371,0.54324
33,random,0.53175,0.54324
34,random,0.42934,0.54324
35,random,0.46911,0.54324
36,random,0.48167,0.54324
37,random,0.53499,0.54324
38,random,0.53604,0.54324
39,random,0.27037,0.54324
40,random,0.53305,0.54324
41,gp,0.48348,0.54324
42,gp,0.53618,0.54324
43,gp,0.49729,0.54324
44,gp,0.47936,0.54324
45,gp,0.53362,0.54324
46,gp,0.52958,0.54324
47,gp,0.53843,0.54324
48,gp,0.54809,0.54809
49,gp,0.55076,0.55076
50,gp,0.54059,0.55076
51,gp,0.542,0.55076
52,gp,0.54674,0.55076
53,gp,0.52171,0.55076
54,gp,0.54017,0.55076
55,gp,0.53911,0.55076
56,gp,0.54889,0.55076
57,gp,0.48704,0.55076
58,gp,0.49647,0.55076
59,gp,0.54208,0.55076
60,gp,0.54113,0.55076
61,gp,0.49926,0.55076
62,gp,0.48909,0.55076
63,gp,0.54029,0.55076
64,gp,0.48817,0.55076
65,gp,0.55012,0.55076
66,gp,0.5429,0.55076
67,gp,0.48783,0.55076
68,gp,0.49393,0.55076
69,gp,0.5415,0.55076
70,gp,0.54653,0.55076
71,gp,0.53995,0.55076
72,gp,0.49198,0.55076
73,gp,0.54661,0.55076
74,gp,0.5503,0.55076
75,gp,0.53881,0.55076
76,gp,0.53586,0.55076
77,gp,0.54331,0.55076
78,gp,0.53331,0.55076
79,gp,0.54349,0.55076
80,gp,0.54487,0.55076
81,gp,0.48278,0.55076
82,gp,0.54095,0.55076
83,gp,0.54473,0.55076
84,gp,0.48893,0.55076
85,gp,0.54764,0.55076
86,gp,0.54211,0.55076
87,gp,0.54184,0.55076
88,gp,0.54682,0.55076
89,gp,0.55218,0.55218
90,gp,0.48656,0.55218
91,gp,0.53981,0.55218
92,gp,0.54255,0.55218
93,gp,0.52738,0.55218
94,gp,0.5489,0.55218
95,gp,0.55316,0.55316
96,gp,0.4866,0.55316
97,gp,0.48634,0.55316
98,gp,0.49016,0.55316
99,gp,0.54584,0.55316
100,gp,0.46727,0.55316
101,gp,0.54448,0.55316
102,gp,0.54661,0.55316
103,gp,0.48835,0.55316
104,gp,0.52071,0.55316
105,gp,0.54025,0.55316
106,gp,0.54887,0.55316
107,gp,0.54268,0.55316
108,gp,0.42428,0.55316
109,gp,0.53012,0.55316
110,gp,0.46559,0.55316
111,gp,0.54504,0.55316
112,gp,0.54996,0.55316
113,gp,0.54196,0.55316
114,gp,0.54249,0.55316
115,gp,0.49564,0.55316
116,gp,0.54093,0.55316
117,gp,0.54728,0.55316
118,gp,0.49182,0.55316
119,gp,0.54924,0.55316
120,gp,0.55158,0.55316
