step,phase,J,best_so_far
1,random,0.52934,0.52934
2,random,0.47185,0.52934
3,random,0.52749,0.52934
4,random,0.52756,0.52934
5,random,0.52814,0.52934
6,random,0.53116,0.53116
7,random,0.51619,0.53116
8,random,0.47703,0.53116
9,random,0.53007,0.53116
10,random,0.5404,0.5404
11,random,0.52404,0.5404
12,random,0.36657,0.5404
13,random,0.51534,0.5404
14,random,0.53532,0.5404
15,random,0.53153,0.5404
16,random,0.48302,0.5404
17,random,0.53009,0.5404
18,random,0.53612,0.5404
19,random,0.53541,0.5404
20,random,0.52938,0.5404
21,random,0.53603,0.5404
22,random,0.47663,0.5404
23,random,0.46011,0.5404
24,random,0.46997,0.5404
25,random,0.5377,0.5404
26,random,0.53083,0.5404
27,random,0.47681,0.5404
28,random,0.52727,0.5404
29,random,0.46342,0.5404
30,random,0.52534,0.5404
31,random,0.53261,0.5404
32,random,0.54204,0.54204
33,random,0.53348,0.54204
34,random,0.53111,0.54204
35,random,0.5243,0.54204
36,random,0.47198,0.54204
37,random,0.47968,0.54204
38,random,0.46631,0.54204
39,random,0.32986,0.54204
40,random,0.52867,0.54204
41,gp,0.53607,0.54204
42,gp,0.53975,0.54204
43,gp,0.48805,0.54204
44,gp,0.53632,0.54204
45,gp,0.53423,0.54204
46,gp,0.483,0.54204
47,gp,0.53105,0.54204
48,gp,0.53461,0.54204
49,gp,0.48931,0.54204
50,gp,0.53098,0.54204
51,gp,0.53255,0.54204
52,gp,0.53776,0.54204
53,gp,0.54191,0.54204
54,gp,0.53865,0.54204
55,gp,0.47515,0.54204
56,gp,0.53651,0.54204
57,gp,0.53602,0.54204
58,gp,0.53273,0.54204
59,gp,0.53589,0.54204
60,gp,0.48476,0.54204
61,gp,0.52491,0.54204
62,gp,0.53579,0.54204
63,gp,0.52977,0.54204
64,gp,0.52773,0.54204
65,gp,0.53645,0.54204
66,gp,0.5333,0.54204
67,gp,0.53411,0.54204
68,gp,0.53626,0.54204
69,gp,0.53748,0.54204
70,gp,0.48391,0.54204
71,gp,0.49112,0.54204
72,gp,0.53957,0.54204
73,gp,0.53148,0.54204
74,gp,0.53406,0.54204
75,gp,0.49035,0.54204
76,gp,0.53163,0.54204
77,gp,0.53246,0.54204
78,gp,0.53257,0.54204
79,gp,0.52565,0.54204
80,gp,0.4757,0.54204
81,gp,0.47854,0.54204
82,gp,0.53885,0.54204
83,gp,0.33011,0.54204
84,gp,0.53922,0.54204
85,gp,0.5325,0.54204
86,gp,0.53229,0.54204
87,gp,0.53689,0.54204
88,gp,0.53892,0.54204
89,gp,0.53177,0.54204
90,gp,0.53671,0.54204
91,gp,0.484,0.54204
92,gp,0.53413,0.54204
93,gp,0.53221,0.54204
94,gp,0.47982,0.54204
95,gp,0.53292,0.54204
96,gp,0.53707,0.54204
97,gp,0.53319,0.54204
98,gp,0.53416,0.54204
99,gp,0.53458,0.54204
100,gp,0.52967,0.54204
101,gp,0.48318,0.54204
102,gp,0.48377,0.54204
103,gp,0.53302,0.54204
104,gp,0.53736,0.54204
105,gp,0.42555,0.54204
106,gp,0.53146,0.54204
107,gp,0.53147,0.54204
108,gp,0.52872,0.54204
109,gp,0.47276,0.54204
110,gp,0.52774,0.54204
111,gp,0.53314,0.54204
112,gp,0.5367,0.54204
113,gp,0.53546,0.54204
114,gp,0.53887,0.54204
115,gp,0.48197,0.54204
116,gp,0.53755,0.54204
117,gp,0.53565,0.54204
118,gp,0.52954,0.54204
119,gp,0.53861,0.54204
120,gp,0.53397,0.54204
