step,phase,J,best_so_far
1,random,0.50575,0.50575
2,random,0.54502,0.54502
3,random,0.55628,0.55628
4,random,0.54849,0.55628
5,random,0.55619,0.55628
6,random,0.56188,0.56188
7,random,0.54339,0.56188
8,random,0.55759,0.56188
9,random,0.56023,0.56188
10,random,0.49411,0.56188
11,random,0.53829,0.56188
12,random,0.53567,0.56188
13,random,0.47447,0.56188
14,random,0.55317,0.56188
15,random,0.55945,0.56188
16,random,0.56133,0.56188
17,random,0.56188,0.56188
18,random,0.55951,0.56188
19,random,0.5557,0.56188
20,random,0.55748,0.56188
21,random,0.55038,0.56188
22,random,0.53748,0.56188
23,random,0.48016,0.56188
24,random,0.48562,0.56188
25,random,0.55943,0.56188
26,random,0.56008,0.56188
27,random,0.53757,0.56188
28,random,0.54972,0.56188
29,random,0.53464,0.56188
30,random,0.55607,0.56188
31,random,0.55435,0.56188
32,random,0.55515,0.56188
33,random,0.56037,0.56188
34,random,0.55829,0.56188
35,random,0.53881,0.56188
36,random,0.55363,0.56188
37,random,0.55901,0.56188
38,random,0.54396,0.56188
39,random,0.487,0.56188
40,random,0.56015,0.56188
41,gp,0.55885,0.56188
42,gp,0.56196,0.56196
43,gp,0.56103,0.56196
44,gp,0.56376,0.56376
45,gp,0.55455,0.56376
46,gp,0.5597,0.56376
47,gp,0.5637,0.56376
48,gp,0.5622,0.56376
49,gp,0.56168,0.56376
50,gp,0.55778,0.56376
51,gp,0.56163,0.56376
52,gp,0.56307,0.56376
53,gp,0.5555,0.56376
54,gp,0.5565,0.56376
55,gp,0.56458,0.56458
56,gp,0.56636,0.56636
57,gp,0.55783,0.56636
58,gp,0.56486,0.56636
59,gp,0.5618,0.56636
60,gp,0.55226,0.56636
61,gp,0.56257,0.56636
62,gp,0.55522,0.56636
63,gp,0.56478,0.56636
64,gp,0.56036,0.56636
65,gp,0.55953,0.56636
66,gp,0.56092,0.56636
67,gp,0.56388,0.56636
68,gp,0.56448,0.56636
69,gp,0.56453,0.56636
70,gp,0.563,0.56636
71,gp,0.56518,0.56636
72,gp,0.56512,0.56636
73,gp,0.55407,0.56636
74,gp,0.56188,0.56636
75,gp,0.56469,0.56636
76,gp,0.55906,0.56636
77,gp,0.56039,0.56636
78,gp,0.56371,0.56636
79,gp,0.55423,0.56636
80,gp,0.56697,0.56697
81,gp,0.56163,0.56697
82,gp,0.56486,0.56697
83,gp,0.56434,0.56697
84,gp,0.56253,0.56697
85,gp,0.56432,0.56697
86,gp,0.54272,0.56697
87,gp,0.5661,0.56697
88,gp,0.5607,0.56697
89,gp,0.56437,0.56697
90,gp,0.55579,0.56697
91,gp,0.55571,0.56697
92,gp,0.56352,0.56697
93,gp,0.56495,0.56697
94,gp,0.55991,0.56697
95,gp,0.55626,0.56697
96,gp,0.55786,0.56697
97,gp,0.56569,0.56697
98,gp,0.56332,0.56697
99,gp,0.56643,0.56697
100,gp,0.5167,0.56697
101,gp,0.5598,0.56697
102,gp,0.56601,0.56697
103,gp,0.5673,0.5673
104,gp,0.56672,0.5673
105,gp,0.56645,0.5673
106,gp,0.56533,0.5673
107,gp,0.56642,0.5673
108,gp,0.55865,0.5673
109,gp,0.56622,0.5673
110,gp,0.55778,0.5673
111,gp,0.565,0.5673
112,gp,0.56269,0.5673
113,gp,0.55631,0.5673
114,gp,0.56109,0.5673
115,gp,0.56042,0.5673
116,gp,0.56433,0.5673
117,gp,0.56552,0.5673
118,gp,0.56361,0.5673
119,gp,0.56681,0.5673
120,gp,0.51635,0.5673
