step,phase,J,best_so_far
1,random,0.45864,0.45864
2,random,0.46081,0.46081
3,random,0.4604,0.46081
4,random,0.47179,0.47179
5,random,0.00511,0.47179
6,random,0.48008,0.48008
7,random,0.51629,0.51629
8,random,0.30395,0.51629
9,random,0.52709,0.52709
10,random,0.48749,0.52709
11,random,0.47142,0.52709
12,random,0.31125,0.52709
13,random,-0.14706,0.52709
14,random,0.41033,0.52709
15,random,0.53402,0.53402
16,random,0.47504,0.53402
17,random,0.52517,0.53402
18,random,0.53381,0.53402
19,random,0.46988,0.53402
20,random,0.30246,0.53402
21,random,0.47326,0.53402
22,random,0.45803,0.53402
23,random,0.15643,0.53402
24,random,0.5231,0.53402
25,random,0.37468,0.53402
26,random,0.52504,0.53402
27,random,0.46651,0.53402
28,random,0.4139,0.53402
29,random,0.35094,0.53402
30,random,0.52198,0.53402
31,random,0.46334,0.53402
32,random,0.15957,0.53402
33,random,0.47562,0.53402
34,random,0.47217,0.53402
35,random,0.36134,0.53402
36,random,0.46991,0.53402
37,random,0.4769,0.53402
38,random,0.52033,0.53402
39,random,0.27087,0.53402
40,random,0.5249,0.53402
41,gp,0.53102,0.53402
42,gp,0.48112,0.53402
43,gp,0.4864,0.53402
44,gp,0.43308,0.53402
45,gp,0.47322,0.53402
46,gp,0.48037,0.53402
47,gp,0.47999,0.53402
48,gp,0.47711,0.53402
49,gp,0.53336,0.53402
50,gp,0.47668,0.53402
51,gp,0.47666,0.53402
52,gp,0.48071,0.53402
53,gp,0.42684,0.53402
54,gp,0.52884,0.53402
55,gp,0.52497,0.53402
56,gp,0.53006,0.53402
57,gp,0.48519,0.53402
58,gp,0.47412,0.53402
59,gp,0.48121,0.53402
60,gp,0.52056,0.53402
61,gp,0.47101,0.53402
62,gp,0.53984,0.53984
63,gp,0.48028,0.53984
64,gp,0.53347,0.53984
65,gp,0.48542,0.53984
66,gp,0.47994,0.53984
67,gp,0.47801,0.53984
68,gp,0.53556,0.53984
69,gp,0.48719,0.53984
70,gp,0.52217,0.53984
71,gp,0.48292,0.53984
72,gp,0.53786,0.53984
73,gp,0.5295,0.53984
74,gp,0.52078,0.53984
75,gp,0.53749,0.53984
76,gp,0.53868,0.53984
77,gp,0.4726,0.53984
78,gp,0.52822,0.53984
79,gp,0.48435,0.53984
80,gp,0.53711,0.53984
81,gp,0.48402,0.53984
82,gp,0.53312,0.53984
83,gp,0.47585,0.53984
84,gp,0.47794,0.53984
85,gp,0.52364,0.53984
86,gp,0.49868,0.53984
87,gp,0.52951,0.53984
88,gp,0.53895,0.53984
89,gp,0.5254,0.53984
90,gp,0.26636,0.53984
91,gp,0.48291,0.53984
92,gp,0.53574,0.53984
93,gp,0.53198,0.53984
94,gp,0.33078,0.53984
95,gp,0.53635,0.53984
96,gp,0.51726,0.53984
97,gp,0.4627,0.53984
98,gp,0.47494,0.53984
99,gp,0.48831,0.53984
100,gp,0.5302,0.53984
101,gp,0.47274,0.53984
102,gp,0.53579,0.53984
103,gp,0.53641,0.53984
104,gp,0.48387,0.53984
105,gp,0.53381,0.53984
106,gp,0.532,0.53984
107,gp,0.53094,0.53984
108,gp,0.4116,0.53984
109,gp,0.48034,0.53984
110,gp,0.48728,0.53984
111,gp,0.48846,0.53984
112,gp,0.52831,0.53984
113,gp,0.521,0.53984
114,gp,0.53455,0.53984
115,gp,0.53694,0.53984
116,gp,0.53299,0.53984
117,gp,0.52205,0.53984
118,gp,0.53381,0.53984
119,gp,0.54063,0.54063
120,gp,0.49336,0.54063
