step,phase,J,best_so_far
1,random,0.5429,0.5429
2,random,0.37641,0.5429
3,random,0.53615,0.5429
4,random,0.5342,0.5429
5,random,0.53442,0.5429
6,random,0.53505,0.5429
7,random,0.5235,0.5429
8,random,0.53341,0.5429
9,random,0.53305,0.5429
10,random,0.54715,0.54715
11,random,0.53507,0.54715
12,random,0.32364,0.54715
13,random,0.52822,0.54715
14,random,0.53676,0.54715
15,random,0.53676,0.54715
16,random,0.53918,0.54715
17,random,0.53139,0.54715
18,random,0.54577,0.54715
19,random,0.54229,0.54715
20,random,0.48264,0.54715
21,random,0.5417,0.54715
22,random,0.47333,0.54715
23,random,0.47156,0.54715
24,random,0.48179,0.54715
25,random,0.54972,0.54972
26,random,0.53996,0.54972
27,random,0.53445,0.54972
28,random,0.52604,0.54972
29,random,0.47554,0.54972
30,random,0.53193,0.54972
31,random,0.53939,0.54972
32,random,0.54758,0.54972
33,random,0.48513,0.54972
34,random,0.47993,0.54972
35,random,0.47337,0.54972
36,random,0.52875,0.54972
37,random,0.4836,0.54972
38,random,0.47833,0.54972
39,random,0.38543,0.54972
40,random,0.5316,0.54972
41,gp,0.54038,0.54972
42,gp,0.54343,0.54972
43,gp,0.54953,0.54972
44,gp,0.54875,0.54972
45,gp,0.53551,0.54972
46,gp,0.54174,0.54972
47,gp,0.5446,0.54972
48,gp,0.54316,0.54972
49,gp,0.53924,0.54972
50,gp,0.54384,0.54972
51,gp,0.5333,0.54972
52,gp,0.54831,0.54972
53,gp,0.53572,0.54972
54,gp,0.53914,0.54972
55,gp,0.53664,0.54972
56,gp,0.54256,0.54972
57,gp,0.49512,0.54972
58,gp,0.54002,0.54972
59,gp,0.54376,0.54972
60,gp,0.52777,0.54972
61,gp,0.54283,0.54972
62,gp,0.53575,0.54972
63,gp,0.53106,0.54972
64,gp,0.53957,0.54972
65,gp,0.53912,0.54972
66,gp,0.53513,0.54972
67,gp,0.48422,0.54972
68,gp,0.54544,0.54972
69,gp,0.54452,0.54972
70,gp,0.54643,0.54972
71,gp,0.53863,0.54972
72,gp,0.54106,0.54972
73,gp,0.54412,0.54972
74,gp,0.49194,0.54972
75,gp,0.49217,0.54972
76,gp,0.49595,0.54972
77,gp,0.54818,0.54972
78,gp,0.5389,0.54972
79,gp,0.54726,0.54972
80,gp,0.54266,0.54972
81,gp,0.54721,0.54972
82,gp,0.54278,0.54972
83,gp,0.48564,0.54972
84,gp,0.54385,0.54972
85,gp,0.54555,0.54972
86,gp,0.48819,0.54972
87,gp,0.54941,0.54972
88,gp,0.49001,0.54972
89,gp,0.5387,0.54972
90,gp,0.49391,0.54972
91,gp,0.54428,0.54972
92,gp,0.47849,0.54972
93,gp,0.55039,0.55039
94,gp,0.5413,0.55039
95,gp,0.5418,0.55039
96,gp,0.5451,0.55039
97,gp,0.53671,0.55039
98,gp,0.53783,0.55039
99,gp,0.53931,0.55039
100,gp,0.5414,0.55039
101,gp,0.54812,0.55039
102,gp,0.48324,0.55039
103,gp,0.49249,0.55039
104,gp,0.49622,0.55039
105,gp,0.54294,0.55039
106,gp,0.54231,0.55039
107,gp,0.54468,0.55039
108,gp,0.37702,0.55039
109,gp,0.53565,0.55039
110,gp,0.53808,0.55039
111,gp,0.54469,0.55039
112,gp,0.54257,0.55039
113,gp,0.54265,0.55039
114,gp,0.54195,0.55039
115,gp,0.5343,0.55039
116,gp,0.54814,0.55039
117,gp,0.54817,0.55039
118,gp,0.53788,0.55039
119,gp,0.54388,0.55039
120,gp,0.54156,0.55039
