step,phase,J,best_so_far
1,random,0.48044,0.48044
2,random,0.52208,0.52208
3,random,0.53304,0.53304
4,random,0.52947,0.53304
5,random,0.53447,0.53447
6,random,0.53634,0.53634
7,random,0.52823,0.53634
8,random,0.4667,0.53634
9,random,0.53697,0.53697
10,random,0.54258,0.54258
11,random,0.52998,0.54258
12,random,0.372,0.54258
13,random,0.46657,0.54258
14,random,0.51929,0.54258
15,random,0.48831,0.54258
16,random,0.52983,0.54258
17,random,0.53576,0.54258
18,random,0.49556,0.54258
19,random,0.53887,0.54258
20,random,0.52795,0.54258
21,gp,0.53611,0.54258
22,gp,0.48526,0.54258
23,gp,0.53081,0.54258
24,gp,0.52421,0.54258
25,gp,0.53802,0.54258
26,gp,0.53535,0.54258
27,gp,0.5415,0.54258
28,gp,0.48311,0.54258
29,gp,0.49376,0.54258
30,gp,0.53832,0.54258
31,gp,0.54297,0.54297
32,gp,0.53792,0.54297
33,gp,0.53735,0.54297
34,gp,0.48314,0.54297
35,gp,0.53495,0.54297
36,gp,0.53111,0.54297
37,gp,0.53738,0.54297
38,gp,0.54018,0.54297
39,gp,0.54084,0.54297
40,gp,0.54333,0.54333
41,gp,0.5428,0.54333
42,gp,0.52906,0.54333
43,gp,0.53477,0.54333
44,gp,0.54506,0.54506
45,gp,0.54149,0.54506
46,gp,0.54574,0.54574
47,gp,0.49029,0.54574
48,gp,0.53864,0.54574
49,gp,0.53983,0.54574
50,gp,0.53082,0.54574
51,gp,0.5372,0.54574
52,gp,0.54327,0.54574
53,gp,0.53704,0.54574
54,gp,0.54104,0.54574
55,gp,0.54048,0.54574
56,gp,0.54561,0.54574
57,gp,0.54306,0.54574
58,gp,0.54111,0.54574
59,gp,0.53857,0.54574
60,gp,0.54194,0.54574
61,gp,0.54177,0.54574
62,gp,0.52764,0.54574
63,gp,0.53325,0.54574
64,gp,0.53878,0.54574
65,gp,0.49523,0.54574
66,gp,0.53862,0.54574
67,gp,0.48299,0.54574
68,gp,0.53113,0.54574
69,gp,0.54392,0.54574
70,gp,0.54579,0.54579
71,gp,0.48904,0.54579
72,gp,0.54083,0.54579
73,gp,0.54206,0.54579
74,gp,0.54322,0.54579
75,gp,0.52874,0.54579
76,gp,0.53416,0.54579
77,gp,0.54121,0.54579
78,gp,0.54431,0.54579
79,gp,0.53839,0.54579
80,gp,0.53442,0.54579
