step,phase,J,best_so_far
1,random,0.54912,0.54912
2,random,0.4922,0.54912
3,random,0.55552,0.55552
4,random,0.5405,0.55552
5,random,0.54937,0.55552
6,random,0.56188,0.56188
7,random,0.54833,0.56188
8,random,0.53454,0.56188
9,random,0.55721,0.56188
10,random,0.54581,0.56188
11,random,0.47809,0.56188
12,random,0.54498,0.56188
13,random,0.46422,0.56188
14,random,0.53302,0.56188
15,random,0.55525,0.56188
16,random,0.55147,0.56188
17,random,0.55895,0.56188
18,random,0.56134,0.56188
19,random,0.55391,0.56188
20,random,0.55268,0.56188
21,gp,0.5419,0.56188
22,gp,0.5305,0.56188
23,gp,0.54998,0.56188
24,gp,0.57009,0.57009
25,gp,0.567,0.57009
26,gp,0.56641,0.57009
27,gp,0.56393,0.57009
28,gp,0.56651,0.57009
29,gp,0.56216,0.57009
30,gp,0.56101,0.57009
31,gp,0.56585,0.57009
32,gp,0.55847,0.57009
33,gp,0.55388,0.57009
34,gp,0.56609,0.57009
35,gp,0.56332,0.57009
36,gp,0.57099,0.57099
37,gp,0.57867,0.57867
38,gp,0.5574,0.57867
39,gp,0.56638,0.57867
40,gp,0.56982,0.57867
41,gp,0.56013,0.57867
42,gp,0.56077,0.57867
43,gp,0.56455,0.57867
44,gp,0.57271,0.57867
45,gp,0.56989,0.57867
46,gp,0.51065,0.57867
47,gp,0.51616,0.57867
48,gp,0.57119,0.57867
49,gp,0.55697,0.57867
50,gp,0.55865,0.57867
51,gp,0.57325,0.57867
52,gp,0.57206,0.57867
53,gp,0.564,0.57867
54,gp,0.57632,0.57867
55,gp,0.55793,0.57867
56,gp,0.56082,0.57867
57,gp,0.51036,0.57867
58,gp,0.52348,0.57867
59,gp,0.56915,0.57867
60,gp,0.5726,0.57867
61,gp,0.56676,0.57867
62,gp,0.57469,0.57867
63,gp,0.56509,0.57867
64,gp,0.50606,0.57867
65,gp,0.5678,0.57867
66,gp,0.56542,0.57867
67,gp,0.56795,0.57867
68,gp,0.57454,0.57867
69,gp,0.57584,0.57867
70,gp,0.57304,0.57867
71,gp,0.57864,0.57867
72,gp,0.54993,0.57867
73,gp,0.50496,0.57867
74,gp,0.56651,0.57867
75,gp,0.57122,0.57867
76,gp,0.57679,0.57867
77,gp,0.5729,0.57867
78,gp,0.56879,0.57867
79,gp,0.55623,0.57867
80,gp,0.57128,0.57867
