step,phase,J,best_so_far
1,random,-0.50486,-0.50486
2,random,-0.34672,-0.34672
3,random,-0.34433,-0.34433
4,random,-0.44526,-0.34433
5,random,-0.09828,-0.09828
6,random,-0.09489,-0.09489
7,random,-0.33455,-0.09489
8,random,-0.28367,-0.09489
9,random,-0.13817,-0.09489
10,random,-0.44947,-0.09489
11,random,-0.44449,-0.09489
12,random,-0.35077,-0.09489
13,random,-0.45148,-0.09489
14,random,-0.44332,-0.09489
15,random,0.1616,0.1616
16,random,-0.39283,0.1616
17,random,0.06499,0.1616
18,random,-0.44884,0.1616
19,random,-0.38928,0.1616
20,random,-0.20058,0.1616
21,gp,-0.33987,0.1616
22,gp,0.25746,0.25746
23,gp,-0.19174,0.25746
24,gp,0.05889,0.25746
25,gp,0.20545,0.25746
26,gp,0.0027,0.25746
27,gp,-0.14125,0.25746
28,gp,-0.2484,0.25746
29,gp,-0.14051,0.25746
30,gp,0.00319,0.25746
31,gp,-0.29786,0.25746
32,gp,0.25836,0.25836
33,gp,0.00835,0.25836
34,gp,-0.24343,0.25836
35,gp,-0.24347,0.25836
36,gp,-0.19586,0.25836
37,gp,0.00966,0.25836
38,gp,0.25999,0.25999
39,gp,0.05918,0.25999
40,gp,-0.13868,0.25999
41,gp,0.25871,0.25999
42,gp,-0.03813,0.25999
43,gp,0.26169,0.26169
44,gp,-0.2883,0.26169
45,gp,-0.14809,0.26169
46,gp,0.2625,0.2625
47,gp,0.26294,0.26294
48,gp,0.05865,0.26294
49,gp,-0.14376,0.26294
50,gp,-0.49433,0.26294
51,gp,-0.44124,0.26294
52,gp,0.35858,0.35858
53,gp,-0.14266,0.35858
54,gp,-0.43696,0.35858
55,gp,0.00591,0.35858
56,gp,0.01191,0.35858
57,gp,0.21233,0.35858
58,gp,0.212,0.35858
59,gp,-0.03532,0.35858
60,gp,0.01802,0.35858
61,gp,0.00874,0.35858
62,gp,0.16113,0.35858
63,gp,0.45903,0.45903
64,gp,0.00749,0.45903
65,gp,-0.24519,0.45903
66,gp,0.35863,0.45903
67,gp,-0.03765,0.45903
68,gp,-0.04376,0.45903
69,gp,-0.23821,0.45903
70,gp,-0.24511,0.45903
71,gp,0.16591,0.45903
72,gp,-0.03915,0.45903
73,gp,0.36328,0.45903
74,gp,-0.13694,0.45903
75,gp,-0.48028,0.45903
76,gp,0.1045,0.45903
77,gp,-0.23789,0.45903
78,gp,-0.18728,0.45903
79,gp,-0.0395,0.45903
80,gp,0.31548,0.45903
