step,phase,J,best_so_far
1,random,-0.35052,-0.35052
2,random,-0.2919,-0.2919
3,random,-0.29409,-0.2919
4,random,0.01313,0.01313
5,random,-0.04172,0.01313
6,random,0.1622,0.1622
7,random,-0.49805,0.1622
8,random,-0.28938,0.1622
9,random,0.21633,0.21633
10,random,-0.24982,0.21633
11,random,-0.2908,0.21633
12,random,-0.29872,0.21633
13,random,-0.46401,0.21633
14,random,-0.45492,0.21633
15,random,0.16198,0.21633
16,random,-0.39277,0.21633
17,random,0.17129,0.21633
18,random,-0.51513,0.21633
19,random,-0.1394,0.21633
20,random,-0.04469,0.21633
21,gp,0.06838,0.21633
22,gp,0.20741,0.21633
23,gp,0.16774,0.21633
24,gp,-0.08478,0.21633
25,gp,0.0062,0.21633
26,gp,0.16474,0.21633
27,gp,0.1718,0.21633
28,gp,0.21579,0.21633
29,gp,0.16858,0.21633
30,gp,0.21756,0.21756
31,gp,0.21709,0.21756
32,gp,0.06898,0.21756
33,gp,0.1656,0.21756
34,gp,0.10844,0.21756
35,gp,0.46032,0.46032
36,gp,-0.34551,0.46032
37,gp,0.20713,0.46032
38,gp,0.26025,0.46032
39,gp,-0.03832,0.46032
40,gp,0.46414,0.46414
41,gp,0.31033,0.46414
42,gp,0.16276,0.46414
43,gp,-0.18753,0.46414
44,gp,0.46386,0.46414
45,gp,0.45418,0.46414
46,gp,0.25618,0.46414
47,gp,-0.04295,0.46414
48,gp,0.21129,0.46414
49,gp,0.06802,0.46414
50,gp,-0.44854,0.46414
51,gp,0.36373,0.46414
52,gp,0.06045,0.46414
53,gp,0.21321,0.46414
54,gp,0.45778,0.46414
55,gp,-0.40832,0.46414
56,gp,0.0674,0.46414
57,gp,0.17047,0.46414
58,gp,-0.25381,0.46414
59,gp,0.16923,0.46414
60,gp,-0.29068,0.46414
61,gp,-0.29124,0.46414
62,gp,0.15858,0.46414
63,gp,0.16484,0.46414
64,gp,0.16085,0.46414
65,gp,0.25993,0.46414
66,gp,0.35671,0.46414
67,gp,0.00982,0.46414
68,gp,0.35829,0.46414
69,gp,-0.35565,0.46414
70,gp,0.1669,0.46414
71,gp,0.45836,0.46414
72,gp,-0.05091,0.46414
73,gp,0.36365,0.46414
74,gp,0.11141,0.46414
75,gp,0.26369,0.46414
76,gp,0.06214,0.46414
77,gp,0.163,0.46414
78,gp,0.30931,0.46414
79,gp,0.06584,0.46414
80,gp,0.16884,0.46414
