step,phase,J,best_so_far
1,random,-0.14828,-0.14828
2,random,0.31195,0.31195
3,random,-0.04348,0.31195
4,random,-0.15286,0.31195
5,random,-0.35257,0.31195
6,random,-0.46205,0.31195
7,random,-0.15066,0.31195
8,random,-0.40404,0.31195
9,random,-0.46057,0.31195
10,random,0.45421,0.45421
11,random,-0.35269,0.45421
12,random,0.05397,0.45421
13,random,0.04901,0.45421
14,random,0.15305,0.45421
15,random,-0.41001,0.45421
16,random,-0.51341,0.45421
17,random,-0.51908,0.45421
18,random,-0.3074,0.45421
19,random,-0.30524,0.45421
20,random,-0.14778,0.45421
21,gp,0.30531,0.45421
22,gp,0.46487,0.46487
23,gp,0.30547,0.46487
24,gp,0.46019,0.46487
25,gp,0.51875,0.51875
26,gp,0.50879,0.51875
27,gp,0.51117,0.51875
28,gp,0.46043,0.51875
29,gp,-0.0421,0.51875
30,gp,0.51526,0.51875
31,gp,0.46445,0.51875
32,gp,0.46808,0.51875
33,gp,0.20703,0.51875
34,gp,0.46242,0.51875
35,gp,0.51522,0.51875
36,gp,0.31429,0.51875
37,gp,0.36673,0.51875
38,gp,0.31037,0.51875
39,gp,0.45985,0.51875
40,gp,0.46457,0.51875
41,gp,0.31679,0.51875
42,gp,0.00797,0.51875
43,gp,0.36932,0.51875
44,gp,0.46754,0.51875
45,gp,0.46339,0.51875
46,gp,0.41264,0.51875
47,gp,0.46041,0.51875
48,gp,0.31206,0.51875
49,gp,0.46748,0.51875
50,gp,0.51635,0.51875
51,gp,0.31002,0.51875
52,gp,0.005,0.51875
53,gp,0.46555,0.51875
54,gp,0.46365,0.51875
55,gp,0.51291,0.51875
56,gp,0.46339,0.51875
57,gp,0.15108,0.51875
58,gp,0.46884,0.51875
59,gp,0.46444,0.51875
60,gp,0.31014,0.51875
61,gp,0.30879,0.51875
62,gp,0.51335,0.51875
63,gp,0.51085,0.51875
64,gp,0.46792,0.51875
65,gp,0.05854,0.51875
66,gp,0.4635,0.51875
67,gp,0.3704,0.51875
68,gp,0.45938,0.51875
69,gp,0.25707,0.51875
70,gp,0.41956,0.51875
71,gp,0.41043,0.51875
72,gp,0.51188,0.51875
73,gp,0.36393,0.51875
74,gp,0.46254,0.51875
75,gp,0.35586,0.51875
76,gp,0.30631,0.51875
77,gp,0.41318,0.51875
78,gp,0.41607,0.51875
79,gp,0.15536,0.51875
80,gp,0.15616,0.51875
