step,phase,J,best_so_far
1,random,0.05665,0.05665
2,random,0.31431,0.31431
3,random,0.16135,0.31431
4,random,0.15322,0.31431
5,random,0.11343,0.31431
6,random,0.16389,0.31431
7,random,0.00348,0.31431
8,random,0.01113,0.31431
9,random,0.11656,0.31431
10,random,0.2015,0.31431
11,random,-0.35035,0.31431
12,random,-0.20788,0.31431
13,random,-0.45905,0.31431
14,random,0.16394,0.31431
15,random,0.06279,0.31431
16,random,0.06079,0.31431
17,random,0.21843,0.31431
18,random,0.15586,0.31431
19,random,0.15448,0.31431
20,random,0.0139,0.31431
21,gp,0.16486,0.31431
22,gp,0.46279,0.46279
23,gp,0.06195,0.46279
24,gp,0.31429,0.46279
25,gp,0.36187,0.46279
26,gp,0.26305,0.46279
27,gp,0.26427,0.46279
28,gp,0.51271,0.51271
29,gp,0.36329,0.51271
30,gp,0.26273,0.51271
31,gp,0.11078,0.51271
32,gp,0.21147,0.51271
33,gp,0.15791,0.51271
34,gp,0.31398,0.51271
35,gp,0.46337,0.51271
36,gp,0.36227,0.51271
37,gp,0.16145,0.51271
38,gp,0.16045,0.51271
39,gp,0.46414,0.51271
40,gp,0.46498,0.51271
41,gp,0.26683,0.51271
42,gp,0.36398,0.51271
43,gp,0.46307,0.51271
44,gp,0.41198,0.51271
45,gp,0.16286,0.51271
46,gp,0.36318,0.51271
47,gp,0.51513,0.51513
48,gp,0.52062,0.52062
49,gp,0.45836,0.52062
50,gp,0.46903,0.52062
51,gp,0.3676,0.52062
52,gp,0.5166,0.52062
53,gp,0.32066,0.52062
54,gp,0.32076,0.52062
55,gp,0.47024,0.52062
56,gp,0.51521,0.52062
57,gp,0.46296,0.52062
58,gp,0.35967,0.52062
59,gp,0.46836,0.52062
60,gp,0.46855,0.52062
61,gp,0.31952,0.52062
62,gp,0.51821,0.52062
63,gp,0.46729,0.52062
64,gp,0.36758,0.52062
65,gp,0.16946,0.52062
66,gp,0.46901,0.52062
67,gp,0.518,0.52062
68,gp,0.51123,0.52062
69,gp,0.4138,0.52062
70,gp,0.30538,0.52062
71,gp,0.41874,0.52062
72,gp,0.22097,0.52062
73,gp,0.51529,0.52062
74,gp,0.46807,0.52062
75,gp,0.45655,0.52062
76,gp,0.35955,0.52062
77,gp,0.11947,0.52062
78,gp,0.469,0.52062
79,gp,0.4163,0.52062
80,gp,-0.35477,0.52062
