step,phase,J,best_so_far
1,random,-0.1496,-0.1496
2,random,0.16272,0.16272
3,random,0.05726,0.16272
4,random,-0.15124,0.16272
5,random,0.10704,0.16272
6,random,0.0569,0.16272
7,random,-0.00268,0.16272
8,random,-0.04306,0.16272
9,random,0.11003,0.16272
10,random,-0.31021,0.16272
11,random,-0.35645,0.16272
12,random,-0.2097,0.16272
13,random,-0.36117,0.16272
14,random,0.36027,0.36027
15,random,0.05633,0.36027
16,random,0.10468,0.36027
17,random,0.16142,0.36027
18,random,-0.00531,0.36027
19,random,-0.00229,0.36027
20,random,0.10946,0.36027
21,gp,0.35734,0.36027
22,gp,0.36109,0.36109
23,gp,0.0629,0.36109
24,gp,0.05402,0.36109
25,gp,0.15344,0.36109
26,gp,0.20421,0.36109
27,gp,0.31325,0.36109
28,gp,0.057,0.36109
29,gp,0.1644,0.36109
30,gp,0.36414,0.36414
31,gp,0.15979,0.36414
32,gp,0.30803,0.36414
33,gp,0.26168,0.36414
34,gp,0.4142,0.4142
35,gp,0.31513,0.4142
36,gp,0.41207,0.4142
37,gp,0.2107,0.4142
38,gp,0.46632,0.46632
39,gp,0.21562,0.46632
40,gp,0.50677,0.50677
41,gp,0.36799,0.50677
42,gp,0.11142,0.50677
43,gp,0.25479,0.50677
44,gp,0.46547,0.50677
45,gp,0.45868,0.50677
46,gp,0.36562,0.50677
47,gp,0.51501,0.51501
48,gp,0.16516,0.51501
49,gp,0.41498,0.51501
50,gp,0.06451,0.51501
51,gp,0.46548,0.51501
52,gp,0.16319,0.51501
53,gp,0.46222,0.51501
54,gp,0.36566,0.51501
55,gp,0.46417,0.51501
56,gp,0.2603,0.51501
57,gp,0.36735,0.51501
58,gp,0.15577,0.51501
59,gp,0.25052,0.51501
60,gp,0.04566,0.51501
61,gp,0.30639,0.51501
62,gp,0.46653,0.51501
63,gp,0.36748,0.51501
64,gp,0.31201,0.51501
65,gp,0.15738,0.51501
66,gp,0.41683,0.51501
67,gp,0.26092,0.51501
68,gp,0.41346,0.51501
69,gp,0.46475,0.51501
70,gp,0.36365,0.51501
71,gp,0.51545,0.51545
72,gp,0.05989,0.51545
73,gp,0.46261,0.51545
74,gp,0.25225,0.51545
75,gp,-0.15027,0.51545
76,gp,0.16403,0.51545
77,gp,0.46632,0.51545
78,gp,0.36728,0.51545
79,gp,0.21451,0.51545
80,gp,0.31515,0.51545
