step,phase,J,best_so_far
1,random,-0.30641,-0.30641
2,random,-0.14505,-0.14505
3,random,-0.14885,-0.14505
4,random,-0.15611,-0.14505
5,random,-0.35403,-0.14505
6,random,-0.46374,-0.14505
7,random,-0.14761,-0.14505
8,random,-0.25892,-0.14505
9,random,-0.36003,-0.14505
10,random,-0.16174,-0.14505
11,random,-0.41124,-0.14505
12,random,-0.14805,-0.14505
13,random,-0.31281,-0.14505
14,random,-0.35699,-0.14505
15,random,-0.46373,-0.14505
16,random,-0.46866,-0.14505
17,random,-0.46819,-0.14505
18,random,-0.46336,-0.14505
19,random,-0.46176,-0.14505
20,random,-0.15092,-0.14505
21,gp,-0.19919,-0.14505
22,gp,-0.2093,-0.14505
23,gp,0.00488,0.00488
24,gp,-0.04497,0.00488
25,gp,-0.0553,0.00488
26,gp,-0.14813,0.00488
27,gp,0.3054,0.3054
28,gp,0.05792,0.3054
29,gp,-0.14463,0.3054
30,gp,-0.04637,0.3054
31,gp,-0.19976,0.3054
32,gp,-0.29644,0.3054
33,gp,-0.04757,0.3054
34,gp,0.10312,0.3054
35,gp,-0.14356,0.3054
36,gp,0.35539,0.35539
37,gp,0.00116,0.35539
38,gp,-0.14265,0.35539
39,gp,-0.00344,0.35539
40,gp,0.14938,0.35539
41,gp,-0.19758,0.35539
42,gp,0.24752,0.35539
43,gp,0.25102,0.35539
44,gp,-0.04286,0.35539
45,gp,-0.148,0.35539
46,gp,0.04331,0.35539
47,gp,-0.04338,0.35539
48,gp,0.15236,0.35539
49,gp,-0.00013,0.35539
50,gp,-0.09603,0.35539
51,gp,-0.08853,0.35539
52,gp,0.40527,0.40527
53,gp,0.35082,0.40527
54,gp,-0.0481,0.40527
55,gp,0.44993,0.44993
56,gp,0.45702,0.45702
57,gp,-0.15571,0.45702
58,gp,0.44932,0.45702
59,gp,-0.24804,0.45702
60,gp,0.10451,0.45702
61,gp,-0.34961,0.45702
62,gp,-0.15221,0.45702
63,gp,-0.25669,0.45702
64,gp,0.1431,0.45702
65,gp,0.09338,0.45702
66,gp,-0.31427,0.45702
67,gp,0.45734,0.45734
68,gp,-0.19888,0.45734
69,gp,0.35341,0.45734
70,gp,0.10644,0.45734
71,gp,0.35168,0.45734
72,gp,0.10538,0.45734
73,gp,-0.00145,0.45734
74,gp,0.34396,0.45734
75,gp,-0.04019,0.45734
76,gp,0.3052,0.45734
77,gp,-0.15335,0.45734
78,gp,0.15059,0.45734
79,gp,0.14991,0.45734
80,gp,-0.152,0.45734
