step,phase,J,best_so_far
1,random,-0.16851,-0.16851
2,random,0.3717,0.3717
3,random,0.15554,0.3717
4,random,-0.00808,0.3717
5,random,0.1531,0.3717
6,random,0.15137,0.3717
7,random,-0.00266,0.3717
8,random,0.15318,0.3717
9,random,0.05916,0.3717
10,random,-0.48268,0.3717
11,random,-0.52631,0.3717
12,random,0.04148,0.3717
13,random,-0.53664,0.3717
14,random,0.16172,0.3717
15,random,0.14993,0.3717
16,random,-0.15972,0.3717
17,random,0.15769,0.3717
18,random,-0.27307,0.3717
19,random,-0.06292,0.3717
20,random,0.21555,0.3717
21,gp,0.16663,0.3717
22,gp,0.16143,0.3717
23,gp,0.37655,0.37655
24,gp,0.06762,0.37655
25,gp,0.37287,0.37655
26,gp,0.31909,0.37655
27,gp,0.48324,0.48324
28,gp,0.38468,0.48324
29,gp,0.16685,0.48324
30,gp,0.22372,0.48324
31,gp,0.37731,0.48324
32,gp,0.2217,0.48324
33,gp,0.15757,0.48324
34,gp,0.3636,0.48324
35,gp,0.16901,0.48324
36,gp,0.38,0.48324
37,gp,0.47841,0.48324
38,gp,0.1644,0.48324
39,gp,0.16339,0.48324
40,gp,0.47364,0.48324
41,gp,0.15713,0.48324
42,gp,0.0389,0.48324
43,gp,-0.05278,0.48324
44,gp,0.35993,0.48324
45,gp,-0.06121,0.48324
46,gp,0.38744,0.48324
47,gp,0.53462,0.53462
48,gp,0.16584,0.53462
49,gp,0.38734,0.53462
50,gp,0.19682,0.53462
51,gp,0.53064,0.53462
52,gp,0.48523,0.53462
53,gp,0.16553,0.53462
54,gp,0.21956,0.53462
55,gp,0.16855,0.53462
56,gp,0.15872,0.53462
57,gp,0.06854,0.53462
58,gp,-0.06082,0.53462
59,gp,0.4743,0.53462
60,gp,0.52362,0.53462
61,gp,0.20801,0.53462
62,gp,0.35963,0.53462
63,gp,0.48228,0.53462
64,gp,0.53311,0.53462
65,gp,0.00728,0.53462
66,gp,-0.22234,0.53462
67,gp,0.43445,0.53462
68,gp,0.20595,0.53462
69,gp,0.38546,0.53462
70,gp,0.53359,0.53462
71,gp,0.53134,0.53462
72,gp,0.16209,0.53462
73,gp,0.48478,0.53462
74,gp,0.43365,0.53462
75,gp,-0.00854,0.53462
76,gp,0.07002,0.53462
77,gp,0.46836,0.53462
78,gp,-0.01699,0.53462
79,gp,0.20585,0.53462
80,gp,0.46598,0.53462
