step,phase,J,best_so_far
1,random,0.00673,0.00673
2,random,0.37306,0.37306
3,random,0.16731,0.37306
4,random,-0.04741,0.37306
5,random,0.16652,0.37306
6,random,0.32382,0.37306
7,random,-0.04525,0.37306
8,random,0.46557,0.46557
9,random,0.07586,0.46557
10,random,-0.41629,0.46557
11,random,-0.40958,0.46557
12,random,-0.15954,0.46557
13,random,-0.51945,0.46557
14,random,0.36783,0.46557
15,random,0.07028,0.46557
16,random,0.31875,0.46557
17,random,0.23307,0.46557
18,random,-0.10024,0.46557
19,random,-0.14648,0.46557
20,random,0.22086,0.46557
21,gp,0.17234,0.46557
22,gp,0.46618,0.46618
23,gp,0.37117,0.46618
24,gp,0.21685,0.46618
25,gp,0.47267,0.47267
26,gp,0.47429,0.47429
27,gp,0.21871,0.47429
28,gp,0.37422,0.47429
29,gp,0.37592,0.47429
30,gp,0.21961,0.47429
31,gp,0.21476,0.47429
32,gp,0.07794,0.47429
33,gp,0.46994,0.47429
34,gp,0.31724,0.47429
35,gp,0.37979,0.47429
36,gp,0.37805,0.47429
37,gp,0.53389,0.53389
38,gp,0.05979,0.53389
39,gp,0.1613,0.53389
40,gp,0.2089,0.53389
41,gp,0.47752,0.53389
42,gp,0.36807,0.53389
43,gp,0.48548,0.53389
44,gp,0.48236,0.53389
45,gp,0.5346,0.5346
46,gp,0.22042,0.5346
47,gp,0.26267,0.5346
48,gp,0.3765,0.5346
49,gp,0.23092,0.5346
50,gp,0.38694,0.5346
51,gp,0.32815,0.5346
52,gp,0.17813,0.5346
53,gp,0.53321,0.5346
54,gp,0.48507,0.5346
55,gp,0.53427,0.5346
56,gp,0.37077,0.5346
57,gp,0.17975,0.5346
58,gp,0.37233,0.5346
59,gp,0.53608,0.53608
60,gp,0.4818,0.53608
61,gp,0.48331,0.53608
62,gp,0.53236,0.53608
63,gp,0.47154,0.53608
64,gp,0.12658,0.53608
65,gp,0.53238,0.53608
66,gp,0.28316,0.53608
67,gp,0.47394,0.53608
68,gp,0.37979,0.53608
69,gp,0.48218,0.53608
70,gp,0.48379,0.53608
71,gp,0.3783,0.53608
72,gp,0.53397,0.53608
73,gp,0.33436,0.53608
74,gp,0.5386,0.5386
75,gp,0.53493,0.5386
76,gp,0.48392,0.5386
77,gp,0.52885,0.5386
78,gp,0.37579,0.5386
79,gp,0.37326,0.5386
80,gp,0.47427,0.5386
