step,phase,J,best_so_far
1,random,0.15613,0.15613
2,random,0.37082,0.37082
3,random,0.26459,0.37082
4,random,-0.04659,0.37082
5,random,0.005,0.37082
6,random,-0.45368,0.37082
7,random,-0.0412,0.37082
8,random,-0.19584,0.37082
9,random,-0.35192,0.37082
10,random,0.04545,0.37082
11,random,-0.19994,0.37082
12,random,0.16016,0.37082
13,random,-0.00037,0.37082
14,random,0.20811,0.37082
15,random,-0.40279,0.37082
16,random,-0.50683,0.37082
17,random,-0.46025,0.37082
18,random,-0.25555,0.37082
19,random,-0.00111,0.37082
20,random,0.01096,0.37082
21,gp,0.4675,0.4675
22,gp,0.1665,0.4675
23,gp,0.41419,0.4675
24,gp,0.418,0.4675
25,gp,0.46171,0.4675
26,gp,0.32318,0.4675
27,gp,0.15662,0.4675
28,gp,0.45463,0.4675
29,gp,0.51783,0.51783
30,gp,0.47082,0.51783
31,gp,0.1592,0.51783
32,gp,0.46342,0.51783
33,gp,-0.03948,0.51783
34,gp,0.36403,0.51783
35,gp,0.42371,0.51783
36,gp,0.35262,0.51783
37,gp,0.37067,0.51783
38,gp,0.36607,0.51783
39,gp,0.4715,0.51783
40,gp,0.45971,0.51783
41,gp,0.01266,0.51783
42,gp,0.45824,0.51783
43,gp,0.37251,0.51783
44,gp,0.36763,0.51783
45,gp,0.45865,0.51783
46,gp,0.40978,0.51783
47,gp,0.35878,0.51783
48,gp,0.46589,0.51783
49,gp,0.41094,0.51783
50,gp,0.31863,0.51783
51,gp,0.3706,0.51783
52,gp,0.40623,0.51783
53,gp,0.45827,0.51783
54,gp,0.46937,0.51783
55,gp,0.47002,0.51783
56,gp,0.51623,0.51783
57,gp,0.46811,0.51783
58,gp,0.15867,0.51783
59,gp,0.41544,0.51783
60,gp,0.35757,0.51783
61,gp,0.46375,0.51783
62,gp,-0.04833,0.51783
63,gp,0.46368,0.51783
64,gp,0.51569,0.51783
65,gp,0.16852,0.51783
66,gp,0.32115,0.51783
67,gp,0.37118,0.51783
68,gp,0.41259,0.51783
69,gp,0.4699,0.51783
70,gp,0.26206,0.51783
71,gp,0.31148,0.51783
72,gp,0.26149,0.51783
73,gp,0.47132,0.51783
74,gp,-0.00769,0.51783
75,gp,0.31884,0.51783
76,gp,0.42261,0.51783
77,gp,0.46607,0.51783
78,gp,0.46739,0.51783
79,gp,0.46173,0.51783
80,gp,0.21355,0.51783
