step,phase,J,best_so_far
1,random,0.54158,0.54158
2,random,0.52872,0.54158
3,random,0.54243,0.54243
4,random,0.53518,0.54243
5,random,0.5435,0.5435
6,random,0.54907,0.54907
7,random,0.53945,0.54907
8,random,0.52527,0.54907
9,random,0.54796,0.54907
10,random,0.54232,0.54907
11,random,0.53043,0.54907
12,random,0.52978,0.54907
13,random,0.51414,0.54907
14,random,0.47548,0.54907
15,random,0.54738,0.54907
16,random,0.54139,0.54907
17,random,0.54944,0.54944
18,random,0.55467,0.55467
19,random,0.54567,0.55467
20,random,0.53869,0.55467
21,gp,0.54816,0.55467
22,gp,0.54966,0.55467
23,gp,0.55382,0.55467
24,gp,0.54549,0.55467
25,gp,0.55443,0.55467
26,gp,0.55237,0.55467
27,gp,0.55324,0.55467
28,gp,0.55788,0.55788
29,gp,0.54735,0.55788
30,gp,0.54692,0.55788
31,gp,0.55687,0.55788
32,gp,0.55863,0.55863
33,gp,0.54925,0.55863
34,gp,0.55592,0.55863
35,gp,0.55635,0.55863
36,gp,0.55379,0.55863
37,gp,0.54857,0.55863
38,gp,0.55354,0.55863
39,gp,0.55309,0.55863
40,gp,0.55181,0.55863
41,gp,0.55716,0.55863
42,gp,0.54953,0.55863
43,gp,0.55753,0.55863
44,gp,0.55733,0.55863
45,gp,0.55322,0.55863
46,gp,0.5475,0.55863
47,gp,0.55892,0.55892
48,gp,0.55839,0.55892
49,gp,0.55653,0.55892
50,gp,0.55603,0.55892
51,gp,0.55141,0.55892
52,gp,0.55768,0.55892
53,gp,0.54438,0.55892
54,gp,0.55529,0.55892
55,gp,0.55406,0.55892
56,gp,0.33864,0.55892
57,gp,0.54551,0.55892
58,gp,0.47855,0.55892
59,gp,0.5514,0.55892
60,gp,0.54879,0.55892
61,gp,0.55415,0.55892
62,gp,0.5486,0.55892
63,gp,0.54688,0.55892
64,gp,0.55193,0.55892
65,gp,0.53352,0.55892
66,gp,0.55002,0.55892
67,gp,0.55893,0.55893
68,gp,0.54422,0.55893
69,gp,0.54085,0.55893
70,gp,0.54766,0.55893
71,gp,0.53296,0.55893
72,gp,0.5567,0.55893
73,gp,0.53776,0.55893
74,gp,0.55605,0.55893
75,gp,0.54966,0.55893
76,gp,0.54817,0.55893
77,gp,0.54885,0.55893
78,gp,0.55443,0.55893
79,gp,0.54184,0.55893
80,gp,0.5539,0.55893
