step,phase,J,best_so_far
1,random,0.14545,0.14545
2,random,0.48452,0.48452
3,random,0.37061,0.48452
4,random,0.35986,0.48452
5,random,0.32213,0.48452
6,random,0.32013,0.48452
7,random,0.36667,0.48452
8,random,0.32102,0.48452
9,random,0.3288,0.48452
10,random,-0.42726,0.48452
11,random,-0.21265,0.48452
12,random,0.15656,0.48452
13,random,-0.47945,0.48452
14,random,0.52568,0.52568
15,random,0.36835,0.52568
16,random,0.15761,0.52568
17,random,0.37723,0.52568
18,random,0.2429,0.52568
19,random,0.3538,0.52568
20,random,0.48252,0.52568
21,gp,0.37982,0.52568
22,gp,0.52976,0.52976
23,gp,0.38269,0.52976
24,gp,0.48287,0.52976
25,gp,0.32377,0.52976
26,gp,0.38094,0.52976
27,gp,0.42525,0.52976
28,gp,0.53126,0.53126
29,gp,0.54095,0.54095
30,gp,0.48401,0.54095
31,gp,0.37958,0.54095
32,gp,0.49484,0.54095
33,gp,0.52918,0.54095
34,gp,0.53849,0.54095
35,gp,0.48949,0.54095
36,gp,0.54463,0.54463
37,gp,0.23338,0.54463
38,gp,0.48482,0.54463
39,gp,0.54404,0.54463
40,gp,0.36769,0.54463
41,gp,0.38654,0.54463
42,gp,0.52963,0.54463
43,gp,0.38262,0.54463
44,gp,0.53872,0.54463
45,gp,0.48986,0.54463
46,gp,0.49012,0.54463
47,gp,0.54382,0.54463
48,gp,0.48457,0.54463
49,gp,0.38402,0.54463
50,gp,0.5337,0.54463
51,gp,0.5418,0.54463
52,gp,0.31502,0.54463
53,gp,0.38581,0.54463
54,gp,0.54408,0.54463
55,gp,0.36524,0.54463
56,gp,0.49466,0.54463
57,gp,0.54329,0.54463
58,gp,0.38111,0.54463
59,gp,0.49422,0.54463
60,gp,0.54347,0.54463
61,gp,0.54287,0.54463
62,gp,0.49246,0.54463
63,gp,0.53988,0.54463
64,gp,0.4858,0.54463
65,gp,0.48222,0.54463
66,gp,0.5324,0.54463
67,gp,0.48493,0.54463
68,gp,0.38099,0.54463
69,gp,0.53538,0.54463
70,gp,0.4719,0.54463
71,gp,0.54349,0.54463
72,gp,0.32851,0.54463
73,gp,0.2676,0.54463
74,gp,0.54284,0.54463
75,gp,0.32415,0.54463
76,gp,0.54464,0.54464
77,gp,0.48917,0.54464
78,gp,0.49011,0.54464
79,gp,0.37203,0.54464
80,gp,0.54392,0.54464
