step,phase,J,best_so_far
1,random,0.57713,0.57713
2,random,0.56305,0.57713
3,random,0.58231,0.58231
4,random,0.56908,0.58231
5,random,0.57941,0.58231
6,random,0.59472,0.59472
7,random,0.57306,0.59472
8,random,0.55807,0.59472
9,random,0.58951,0.59472
10,random,0.56759,0.59472
11,random,0.56068,0.59472
12,random,0.56099,0.59472
13,random,0.4897,0.59472
14,random,0.55508,0.59472
15,random,0.59089,0.59472
16,random,0.58363,0.59472
17,random,0.59397,0.59472
18,random,0.59402,0.59472
19,random,0.585,0.59472
20,random,0.57557,0.59472
21,gp,0.56749,0.59472
22,gp,0.58975,0.59472
23,gp,0.59606,0.59606
24,gp,0.59013,0.59606
25,gp,0.60066,0.60066
26,gp,0.59519,0.60066
27,gp,0.60002,0.60066
28,gp,0.59178,0.60066
29,gp,0.60033,0.60066
30,gp,0.59673,0.60066
31,gp,0.60628,0.60628
32,gp,0.59748,0.60628
33,gp,0.60104,0.60628
34,gp,0.59796,0.60628
35,gp,0.60282,0.60628
36,gp,0.59648,0.60628
37,gp,0.6036,0.60628
38,gp,0.60054,0.60628
39,gp,0.58389,0.60628
40,gp,0.58793,0.60628
41,gp,0.58671,0.60628
42,gp,0.60163,0.60628
43,gp,0.60337,0.60628
44,gp,0.59449,0.60628
45,gp,0.59966,0.60628
46,gp,0.58513,0.60628
47,gp,0.59836,0.60628
48,gp,0.60141,0.60628
49,gp,0.59929,0.60628
50,gp,0.59869,0.60628
51,gp,0.58505,0.60628
52,gp,0.5939,0.60628
53,gp,0.58624,0.60628
54,gp,0.58386,0.60628
55,gp,0.60255,0.60628
56,gp,0.59692,0.60628
57,gp,0.59062,0.60628
58,gp,0.60248,0.60628
59,gp,0.59215,0.60628
60,gp,0.60149,0.60628
61,gp,0.59224,0.60628
62,gp,0.59863,0.60628
63,gp,0.59658,0.60628
64,gp,0.5954,0.60628
65,gp,0.59969,0.60628
66,gp,0.56708,0.60628
67,gp,0.60389,0.60628
68,gp,0.59796,0.60628
69,gp,0.60423,0.60628
70,gp,0.5996,0.60628
71,gp,0.60536,0.60628
72,gp,0.60093,0.60628
73,gp,0.59943,0.60628
74,gp,0.59211,0.60628
75,gp,0.59902,0.60628
76,gp,0.60276,0.60628
77,gp,0.59563,0.60628
78,gp,0.60436,0.60628
79,gp,0.5933,0.60628
80,gp,0.59733,0.60628
