step,phase,J,best_so_far
1,random,0.51775,0.51775
2,random,0.51196,0.51775
3,random,0.52028,0.52028
4,random,0.5185,0.52028
5,random,0.52264,0.52264
6,random,0.52737,0.52737
7,random,0.46564,0.52737
8,random,0.45712,0.52737
9,random,0.47727,0.52737
10,random,0.5334,0.5334
11,random,0.46854,0.5334
12,random,0.31068,0.5334
13,random,0.50807,0.5334
14,random,0.51273,0.5334
15,random,0.52823,0.5334
16,random,0.47067,0.5334
17,random,0.52888,0.5334
18,random,0.48332,0.5334
19,random,0.52753,0.5334
20,random,0.46892,0.5334
21,gp,0.52787,0.5334
22,gp,0.52924,0.5334
23,gp,0.47572,0.5334
24,gp,0.47429,0.5334
25,gp,0.52474,0.5334
26,gp,0.47248,0.5334
27,gp,0.4701,0.5334
28,gp,0.52882,0.5334
29,gp,0.52839,0.5334
30,gp,0.47723,0.5334
31,gp,0.52887,0.5334
32,gp,0.5314,0.5334
33,gp,0.32606,0.5334
34,gp,0.51549,0.5334
35,gp,0.48214,0.5334
36,gp,0.47872,0.5334
37,gp,0.53007,0.5334
38,gp,0.52687,0.5334
39,gp,0.52717,0.5334
40,gp,0.42184,0.5334
41,gp,0.52648,0.5334
42,gp,0.524,0.5334
43,gp,0.477,0.5334
44,gp,0.52824,0.5334
45,gp,0.53369,0.53369
46,gp,0.48075,0.53369
47,gp,0.5211,0.53369
48,gp,0.52973,0.53369
49,gp,0.53006,0.53369
50,gp,0.53154,0.53369
51,gp,0.48429,0.53369
52,gp,0.48005,0.53369
53,gp,0.52979,0.53369
54,gp,0.47255,0.53369
55,gp,0.52497,0.53369
56,gp,0.48085,0.53369
57,gp,0.52707,0.53369
58,gp,0.48002,0.53369
59,gp,0.52506,0.53369
60,gp,0.529,0.53369
61,gp,0.53061,0.53369
62,gp,0.4802,0.53369
63,gp,0.52923,0.53369
64,gp,0.5231,0.53369
65,gp,0.53349,0.53369
66,gp,0.52786,0.53369
67,gp,0.52622,0.53369
68,gp,0.53428,0.53428
69,gp,0.52325,0.53428
70,gp,0.52587,0.53428
71,gp,0.52851,0.53428
72,gp,0.52575,0.53428
73,gp,0.52689,0.53428
74,gp,0.47771,0.53428
75,gp,0.52768,0.53428
76,gp,0.52427,0.53428
77,gp,0.52979,0.53428
78,gp,0.52151,0.53428
79,gp,0.52898,0.53428
80,gp,0.52984,0.53428
