step,phase,J,best_so_far
1,random,0.58011,0.58011
2,random,0.56277,0.58011
3,random,0.58515,0.58515
4,random,0.57114,0.58515
5,random,0.58513,0.58515
6,random,0.60183,0.60183
7,random,0.57508,0.60183
8,random,0.56282,0.60183
9,random,0.59726,0.60183
10,random,0.56782,0.60183
11,random,0.56491,0.60183
12,random,0.50797,0.60183
13,random,0.49281,0.60183
14,random,0.5564,0.60183
15,random,0.59813,0.60183
16,random,0.5899,0.60183
17,random,0.6042,0.6042
18,random,0.59911,0.6042
19,random,0.58712,0.6042
20,random,0.57839,0.6042
21,gp,0.56675,0.6042
22,gp,0.59622,0.6042
23,gp,0.59835,0.6042
24,gp,0.60255,0.6042
25,gp,0.60934,0.60934
26,gp,0.60442,0.60934
27,gp,0.59244,0.60934
28,gp,0.60559,0.60934
29,gp,0.59871,0.60934
30,gp,0.58767,0.60934
31,gp,0.596,0.60934
32,gp,0.60661,0.60934
33,gp,0.60708,0.60934
34,gp,0.60823,0.60934
35,gp,0.6048,0.60934
36,gp,0.60634,0.60934
37,gp,0.59783,0.60934
38,gp,0.60796,0.60934
39,gp,0.60787,0.60934
40,gp,0.59709,0.60934
41,gp,0.59931,0.60934
42,gp,0.60872,0.60934
43,gp,0.60735,0.60934
44,gp,0.60473,0.60934
45,gp,0.60346,0.60934
46,gp,0.60225,0.60934
47,gp,0.60839,0.60934
48,gp,0.60678,0.60934
49,gp,0.58296,0.60934
50,gp,0.6097,0.6097
51,gp,0.6071,0.6097
52,gp,0.59587,0.6097
53,gp,0.60095,0.6097
54,gp,0.59048,0.6097
55,gp,0.60646,0.6097
56,gp,0.57711,0.6097
57,gp,0.59951,0.6097
58,gp,0.6063,0.6097
59,gp,0.60522,0.6097
60,gp,0.60401,0.6097
61,gp,0.6056,0.6097
62,gp,0.60726,0.6097
63,gp,0.60366,0.6097
64,gp,0.60625,0.6097
65,gp,0.60585,0.6097
66,gp,0.5715,0.6097
67,gp,0.61026,0.61026
68,gp,0.59426,0.61026
69,gp,0.60486,0.61026
70,gp,0.60976,0.61026
71,gp,0.5795,0.61026
72,gp,0.60714,0.61026
73,gp,0.60975,0.61026
74,gp,0.58048,0.61026
75,gp,0.59652,0.61026
76,gp,0.61037,0.61037
77,gp,0.59167,0.61037
78,gp,0.60528,0.61037
79,gp,0.59862,0.61037
80,gp,0.60209,0.61037
