step,phase,J,best_so_far
1,random,0.48563,0.48563
2,random,0.47376,0.48563
3,random,0.48564,0.48564
4,random,0.53112,0.53112
5,random,0.53602,0.53602
6,random,0.53729,0.53729
7,random,0.53207,0.53729
8,random,0.47024,0.53729
9,random,0.53686,0.53729
10,random,0.538,0.538
11,random,0.53067,0.538
12,random,0.32555,0.538
13,random,0.51952,0.538
14,random,0.52123,0.538
15,random,0.53819,0.53819
16,random,0.5326,0.53819
17,random,0.53493,0.53819
18,random,0.5459,0.5459
19,random,0.53887,0.5459
20,random,0.48046,0.5459
21,gp,0.5379,0.5459
22,gp,0.47655,0.5459
23,gp,0.53953,0.5459
24,gp,0.54572,0.5459
25,gp,0.48338,0.5459
26,gp,0.54224,0.5459
27,gp,0.53886,0.5459
28,gp,0.53981,0.5459
29,gp,0.54325,0.5459
30,gp,0.4892,0.5459
31,gp,0.48324,0.5459
32,gp,0.54651,0.54651
33,gp,0.53766,0.54651
34,gp,0.53883,0.54651
35,gp,0.54271,0.54651
36,gp,0.5465,0.54651
37,gp,0.48592,0.54651
38,gp,0.54618,0.54651
39,gp,0.53681,0.54651
40,gp,0.48547,0.54651
41,gp,0.53987,0.54651
42,gp,0.53934,0.54651
43,gp,0.53876,0.54651
44,gp,0.54383,0.54651
45,gp,0.48493,0.54651
46,gp,0.53863,0.54651
47,gp,0.53853,0.54651
48,gp,0.5275,0.54651
49,gp,0.54222,0.54651
50,gp,0.4337,0.54651
51,gp,0.53966,0.54651
52,gp,0.53989,0.54651
53,gp,0.53973,0.54651
54,gp,0.53627,0.54651
55,gp,0.54038,0.54651
56,gp,0.48408,0.54651
57,gp,0.48056,0.54651
58,gp,0.54295,0.54651
59,gp,0.54442,0.54651
60,gp,0.54638,0.54651
61,gp,0.4873,0.54651
62,gp,0.48386,0.54651
63,gp,0.53854,0.54651
64,gp,0.54068,0.54651
65,gp,0.54145,0.54651
66,gp,0.53796,0.54651
67,gp,0.54445,0.54651
68,gp,0.53496,0.54651
69,gp,0.54515,0.54651
70,gp,0.54322,0.54651
71,gp,0.5277,0.54651
72,gp,0.54392,0.54651
73,gp,0.54668,0.54668
74,gp,0.53813,0.54668
75,gp,0.54554,0.54668
76,gp,0.54371,0.54668
77,gp,0.54226,0.54668
78,gp,0.49102,0.54668
79,gp,0.54451,0.54668
80,gp,0.38909,0.54668
